gvkey,fyear,conm,cik,ein
150580,2001,RXBAZAAR INC,1115295,38-3506266
150607,2002,ABERDEEN ASIA PAC INCM INVST,NA,
150616,2001,SYNERGY FINANCIAL GROUP INC,1263766,52-2413926
150637,2000,CCSB FINANCIAL CORP,1189356,32-0034299
150638,2000,SPECTRA SYSTEMS CORP-REDH,1168106,05-0491841
150639,2001,DAIR VENTURES INC,1139511,65-1103313
150643,2004,SOUTH TEXAS OIL CO,1288946,74-2949620
150644,2000,ASKMENOW INC,1104538,71-0876952
150677,2001,MONEY CENTERS OF AMERICA INC,1165271,23-2929364
150680,2003,NUVEEN PFD SECURITIES INCM,1176433,
150681,2005,OCATA THERAPEUTICS INC,1140098,87-0656515
150698,2002,VAULT AMERICA INC  -OLD,NA,52-2325923
150699,1997,CIMAREX ENERGY CO,1168054,45-0466694
150700,2003,NEUBERGER BERMAN CA INT MUN,1178840,
150701,2003,NEUBERGER BERMAN NY INT MUN,1178841,
150702,2003,NEUBERGER BERMAN MUNI FD,1178839,
150720,2008,NEW ENERGY SYSTEMS GROUP,1144320,91-2132336
150722,2002,MUSTANG RESOURCES INC,NA,
150723,2002,NUVEEN CT DIV ADV MUN FD 3,1177218,
150724,2002,NUVEEN MD DIV ADV MUN FD 3,1177214,
150725,2002,NUVEEN GA QUAL MUN INCM FD,1177219,
150726,2002,NUVEEN NC DIV ADV MUN FD 3,1177216,
150727,2003,NUVEEN AZ DIV ADV MUN FD 3,1177212,
150730,2011,PANORO MINERALS LTD,1404640,
150751,2002,WORLD HEALTH ALTERNATIVES,1169709,04-3613924
150761,2000,CATASYS INC,1136174,88-0464853
150763,2001,MAXIMUM DYNAMICS INC,1166529,84-1556886
150764,2000,TFI INTERNATIONAL INC,NA,
150801,2002,MONARCH STAFFING INC,1177326,88-0474056
150803,2012,BANK FIRST CORP,1746109,39-1435359
150819,2000,NABORS EXCHANGECO CDA INC,NA,
150837,2000,NATURAL RESOURCE PARTNERS LP,1171486,35-2164875
150838,2002,ENBRIDGE ENERGY MGMT LLC,1173911,61-1414604
150864,2001,VIRACOCHA ENERGY INC,NA,
150880,2001,OWNERTEL INC,1144546,58-2634747
150922,2008,SUNWIN STEVIA INTL INC,806592,56-2416925
150923,2004,PATHFINDER INCOME FUND-OLD,NA,
150937,2001,SEAGATE TECHNOLOGY PLC,1137789,98-0648577
151000,1999,ACT INTERNATIONAL INC,NA,87-0626322
151010,2001,MY PERSONAL SALON INC,NA,13-4137925
151016,1997,DADE BEHRING HOLDINGS INC,1183920,36-3989270
151037,2001,MEGOLA INC -OLD,NA,88-0492605
151040,2002,ALLEN-VANGUARD CORP,NA,
151043,2003,SPDR STOXX EUROPE 50 ETF,NA,
151057,2003,SPDR EURO STOXX 50 ETF,NA,
151062,2003,ISHARES S&P/TSX CAP REIT IDX,NA,
151077,1999,WESTERN SILVER CORP,896066,
151078,2000,BANK OF FLORIDA CORP,1082368,59-3535315
151118,2000,RONA INC,NA,
151157,2003,BLACKROCK MUN INC QLTY TR,1181187,
151158,2003,BLACKROCK CA INS MUN INC TR,1181027,
151159,2003,BLACKROCK NY MUN INC QLTY TR,1181024,
151160,2003,BLACKROCK MUN INC INVST QLTY,1181026,
151161,2000,OVERHILL FARMS INC,1101020,75-2590292
151162,2003,PIMCO MUNICIPAL INCM FD III,1181506,
151163,2003,PIMCO CALIF MUN INC FD III,1181504,
151164,2003,PIMCO NY MUN INCOME FUND III,1181505,
151165,2002,DWS RREEF REAL ESTATE FUND,1179126,
151197,2000,BODY ART & SCIENCE INC-REDH,1196480,88-0475452
151199,2002,FIRST AMERN MN MUN INC FD II,1183829,
151200,2002,LIFEBANK CORP,NA,
151222,2000,BROOKE CORP,834408,48-1009756
151223,2002,ETF ADVISORS TR TREAS 1 FITR,NA,
151237,2011,CANADIAN RESOURCES INCOME TR,NA,
151257,2000,INPHONIC INC,1133324,52-2199384
151277,2000,NORAMPAC INC,1058970,
151279,2001,TERRA ENERGY & RESOURCE TECH,1084828,56-1940918
151282,2000,TMX GROUP INC,NA,
151286,2000,INAMCO INTERNATIONAL CORP,1114959,72-1359595
151324,2002,TRILOCH RESOURCES INC,NA,
151364,2006,CHINA NORTH EAST PETRO HLDG,787251,87-0638750
151365,2002,TREE ISLAND STEEL LTD,NA,
151383,2000,BRALORNE GOLD MINES LTD,NA,
151385,2004,INVESCO BLDRS ASIA 50 ADR,NA,
151403,2001,MPG OFFICE TRUST INC,1204560,04-3692625
151404,1998,INTEGRATED ALARM SVCS GROUP,1200022,42-1578199
151423,2001,NEPHROS INC,1196298,13-3971809
151443,2002,ASSOCIATED BRANDS INCOME FD,NA,
151483,2007,DIVERSIFIED INCOME TRUST II,NA,
151503,2001,COMCAST CORP-PRO FORMA,NA,
151543,2010,LIPIDVIRO TECH INC -OLD,NA,87-0678927
151544,2001,PARKE BANCORP INC,1315399,65-1241959
151563,1997,CCS INCOME TRUST,NA,
151572,2003,NUVEEN CALIF AMT-FREE QTY,1195738,
151573,2003,NUVEEN INS FL TX FR ADV MUN,1196362,
151574,2003,NUVEEN NY AMT-FREE QL MUN,1195739,
151575,2003,NUVEEN AMT-FREE QU MUNI INCM,1195737,
151576,2002,NUVEEN MA AMT-FREE MUNI INCM,1196366,
151586,2003,INYX INC,1114241,75-2870720
151589,2000,LOCATEPLUS HOLDINGS CORP,1160084,04-3332304
151593,2011,TRUE NORTH GEMS INC,1222659,
151594,2003,AVEC CORP,1144130,98-0353007
151606,2000,OHIO LEGACY CORP,1096654,34-1903890
151608,2003,AEW REAL ESTATE INCOME FUND,1191256,
151610,2003,EATON VANCE MUN BOND FD II,1196867,
151611,2003,EATON VANCE CA MUN BD FD II,1196869,
151612,2003,EATON VANCE INS FL PLUS MUN,1196870,
151613,2003,EATON VANCE MA MUN BOND FD,1196871,
151614,2003,EATON VANCE OH MUN BOND FD,1196876,
151615,2003,EATON VANCE MI MUN BOND FD,1196872,
151616,2003,EATON VANCE NJ MUN BOND FD,1196874,
151617,2003,EATON VANCE NY MUN BD FD II,1196875,
151618,2003,EATON VANCE PA MUN BOND FD,1196877,
151619,2003,HANCOCK JOHN PREF INCM FD II,1189740,
151621,2003,DENALI FUND INC,1187520,
151630,2003,HALOZYME THERAPEUTICS INC,1159036,88-0488686
151632,2002,WARREN RESOURCES INC,892986,11-3024080
151648,2007,DIVERSITRUST INCOME FUND,NA,
151649,2002,GATEWAY CASINOS INCOME FUND,NA,
151708,2000,BROOKFIELD RESIDENTIAL PPTYS,1502554,
151750,2002,WMC RESOURCES LTD,1208222,
151772,2002,HARVEST ENERGY TRUST,1309799,
151776,2002,TGS NORTH AMERICAN REIT,NA,
151828,2001,METRO ONE DEVELOPMENT INC,1126302,98-0231687
151829,1998,TEXAS GENCO HOLDINGS INC,1188303,76-0695920
151832,2000,IPAYMENT INC,1140184,62-1847043
151868,2001,NORTHROP GRUMMAN-PRO FORMA3,NA,
151891,2002,RUTTER INC,NA,
151928,2000,COMBIMATRIX CORP,1383183,47-0899439
151930,2002,ENERCARE INC,NA,
151932,2001,SOFTBRANDS INC,1311926,41-2021446
151933,2000,TENARIS SA,1190723,
151948,2000,CONVERSE INC,1209807,52-2296884
151951,2012,CENTRIX BANK & TRUST,NA,
151955,NA,ROCA MINES INC,1447402,
151969,2000,WOODSTOCK HOLDINGS INC,1095373,58-2161804
151971,2004,WACHOVIA PFD FUNDING CORP,1188382,56-1986430
152008,2006,PLURISTEM THERAPEUTICS INC,1158780,98-0351734
152009,2000,ACCPAC INTERNATIONAL -REDH,1063239,77-0469911
152010,2002,ALEXIS NIHON R E INVST TRUST,NA,
152011,2002,EXCHANGE INCOME CORP,NA,
152012,2003,LAKE SHORE GOLD CORP,1279944,
152013,2003,NUVEEN QUALITY PFD INCM FD 3,1200446,
152028,2003,FEDERATED PREM INTR MUN INC,1202806,
152029,2003,FEDERATED PREM MUNI INCM FD,1199004,
152034,2003,MEDISYS HEALTH GROUP INCM FD,NA,
152049,2004,FIRST BANCSHARES INC/MS,947559,64-0862173
152051,2003,METALLIC VENTURES GOLD INC,NA,
152070,2001,DIGUANG INTL DEVELOPMENT CO,1158722,22-3774845
152071,2003,PIMCO CORP & INCM OPPTY FUND,1190935,
152109,2008,NF ENERGY SAVING CORP,1213660,02-0563302
152128,2003,CRDENTIA CORP,1073857,76-0585701
152134,2006,VOLTA RESOURCES INC,NA,
152149,2001,MOLINA HEALTHCARE INC,1179929,13-4204626
152170,2003,ICOP DIGITAL INC,1094572,84-1493152
152189,2003,STERLING CHEMICALS INC,1014669,76-0502785
152248,1998,TODCO,1210697,76-0544217
152249,2001,ENDURANCE SPECIALTY HOLDINGS,1179755,98-0392908
152250,2002,IN TOUCH MEDIA GROUP INC,1194842,01-0626963
152251,2000,YAMHILL VALLEY VINEYRDS-REDH,1212236,93-0965789
152268,1999,ASIA MEDIA GROUP CORP,NA,
152289,2000,AUGUSTINE VENTURES INC,NA,
152290,2000,ORSU METALS CORP,NA,
152291,2001,ARMKEL LLC,1140590,13-4181336
152292,1998,HUNTINGTON RHODES INC,NA,
152296,2001,SHANNON INTERNATIONAL INC,1081047,98-0204965
152309,1999,NEARCTIC NICKEL MINES INC,1023842,
152310,2000,CIA DE SANEAMENTO DO PARANA,1171262,
152388,2011,DEQ SYSTEMS CORP,NA,
152430,2009,FIRST NATIONAL ENERGY CORP,1142129,66-0349372
152449,2000,CLEAR ENERGY INC,NA,
152468,2002,MEDICAL MEDIA TELEVISION INC,1235899,59-3645932
152474,2000,REDLINE PERFORMANCE PRODS,1121131,36-4335356
152548,2003,FLAHERTY & CRUMRINE PFD SECS,1174164,
152588,2003,BURMIS ENERGY INC,NA,
152628,2003,AVENEX ENERGY CORP,NA,
152649,2000,TELKOM SA SOC LTD,1214299,
152650,2008,CHINA YONGXIN PHARMA INC,1087848,20-1661391
152670,2000,AT&T MOBILITY LLC,1130452,74-2955068
152689,2000,NBC ACQUISITION CORP,1056756,47-0793347
152692,2000,PERPETUAL ENERGY INC,1177293,
152708,2001,DIGITALNET HOLDINGS INC,1160241,52-2339233
152729,2003,ISHARES MSCI S AFRICA ETF,NA,
152752,2011,TINKA RESOURCES LTD,1368845,
152790,1998,CENTERPLATE INC,1086774,
152793,2011,INVESTMENT GRADE TRUST,NA,
152794,2007,SKYLON GLBL CAP YIELD TR II,NA,
152809,2001,MOD-PAC CORP,1191857,16-0957153
152828,2003,ALLIED PPTYS REAL ESTATE INV,NA,
152830,2002,CALIFORNIA GRAPES INTL INC,1098865,65-0419601
152848,2003,ALAMOS GOLD INC -OLD,1178819,
152869,2010,METALCORP LTD,NA,
152888,2012,3DICON CORP -OLD,NA,73-1479206
152889,2003,BLACKROCK CR ALLOC INCM III,1213169,
152908,2000,ACACIA RESEARCH-CONSOLIDATED,NA,
152909,2002,WELLS FARGO INCOME OPPOR FD,1210123,
152930,2003,LUKE ENERGY LTD,1268947,
152931,2001,SUN AMERICAN BANCORP,1042521,65-0325364
152973,2002,NORTHVIEW APARTMENT REIT,NA,
152990,2010,YANGAROO INC,NA,
153008,2003,AMTELECOM INCOME FUND,NA,
153028,2003,TRUE RELIGION APPAREL INC,1160858,98-0352633
153070,2002,AMERICAN FINANCIAL REALTY TR,1193558,02-0604479
153073,2003,SPECIALTY FOODS GRP INCM FD,NA,
153128,2001,HUDSON GLOBAL INC,1210708,59-3547281
153129,2000,ROBEX RESOURCES INC,NA,
153130,2002,AXIS CAPITAL HOLDINGS LTD,1214816,98-0395986
153191,2007,CHINA NATURAL GAS INC,1120830,98-0231607
153232,2003,BLACKROCK CR ALLOC INC TR II,1215664,
153250,1997,RESOLUTION PERFORMANCE PROD,1132423,76-0607613
153251,2011,PALO DURO ENERGY INC,NA,
153252,2003,ALLIANZGI CONV & INCOME FUND,1214935,
153253,2003,NUVEEN PFD INCM OPPTYS FD,1216583,
153268,1996,PPL ELECTRIC UTILS CORP-OLD,NA,
153311,2001,MITCHELLS & BUTLER PLC,1224480,
153351,1995,ALGOS PHARMACEUTICAL CORP,924862,22-3142274
153550,1997,PETER KIEWIT SONS INC,1044430,91-1842817
153568,2003,ISHARES MSCI EMERG MKTS ETF,NA,
153574,2003,MAXIN INCOME FUND,NA,
153616,2009,EAGLE FINANCIAL SERVICES INC,880641,54-1601306
153630,NA,SPECTRAL CAPITAL CORP,1131903,51-0520296
153631,2001,PFIZER INC-PRO FORMA,NA,
153668,2001,VIRGIN MEDIA INC,1270400,59-3778247
153712,2003,NEUBERGER BERMAN RLTY INC FD,1221327,
153713,2003,PIMCO HIGH INCOME FUND,1219360,
153728,2001,IPASS INC,1053374,93-1214598
153748,2006,BERKSHIRE INCOME REALTY INC,1178862,32-0024337
153750,NA,SCITI TRUST,NA,
153769,2003,INVESCO DYNAMIC MARKET ETF,NA,
153771,2003,INVESCO-TRAD DWA NASDAQ MMTM,NA,
153772,2003,INVESCO S&P 500 EQUAL WT ETF,NA,
153773,2003,ADVENT CONVERTIBL AND INC FD,1219120,
153793,2004,CHELSEA THERAPEUTICS INTL,1333763,20-3174202
153813,2001,DTS INC,1226308,77-0467655
153815,2005,EURO SUN MINING INC,1367671,
153856,2002,TBC GLOBAL NEWS NETWORK-OLD,NA,90-0224051
153873,2003,ACS MEDIA INCOME FUND,NA,
153876,2008,OLYMPIA FINANCIAL GROUP INC,NA,
153895,2001,OPTIMUMBANK HOLDINGS INC,1288855,55-0865043
153954,1990,PRECAMBRIAN SHIELD RESOURCES,NA,
153957,2009,BRAINSTORM CELL THERAPEUTICS,1137883,20-7273918
153993,2000,GAMEHAPPY.COM INC,1133944,74-2973796
154013,2002,MOORE CORP LTD-PRO FORMA,NA,
154037,2009,LIBERTY STAR URANIUM & METAL,1172178,90-0175540
154039,2000,NETGEAR INC,1122904,77-0419172
154055,2002,JOURNAL CO-REDH,NA,
154056,2001,NATIONAL FINANCIAL PRTNRS CP,1183186,13-4029115
154058,2002,NORTHBRIDGE FINANCIAL CORP,NA,
154093,2008,CERVUS EQUIPMENT CORP,NA,
154113,2000,CSI TECHNOLOGIES INC,1117326,86-0985427
154114,2003,CUSTOM DIRECT INCOME FUND,NA,
154117,2003,BLACKROCK CORP HI YIELD FUND,1222401,
154118,2003,EATON VANCE LTD DUR INCM FD,1222922,
154133,2003,CALAMOS CONV & HIGH INCM FD,1222719,
154135,2003,KEYERA CORP,1442503,
154153,2007,CITADEL S-1 INCOME TRUST FD,NA,
154154,2010,NATUNOLA AGRITECH INC,NA,
154234,2001,CRYSTAL DECISIONS INC-REDH,1126499,77-0537234
154235,2003,GAMEHOST INC,NA,
154253,2001,AMERICAN SEAFOODS CORP-REDH,1231129,01-0781250
154254,2003,FIRST ADVANTAGE CORP,1210677,61-1437565
154255,2000,DIRECT GENERAL CORP,1023031,62-1564496
154257,1996,COINMACH CORP,91693,53-0188589
154274,2002,FAST LANE HOLDINGS INC,1765826,33-1025552
154275,2002,HOCKEY CO HOLDINGS INC,NA,
154276,2010,PRO-AMS U S TRUST,NA,
154293,2006,PEER 1 NETWORK ENTERPRISES,1228606,
154313,2002,DEX MEDIA EAST LLC,1212113,42-1554575
154314,2006,ARSENAL ENERGY INC,1486069,
154335,2004,FIRST TRUST VALUE LN 100 ETF,NA,
154353,2001,AMERENENERGY GENERATING CO,1135361,37-1395586
154354,2001,DUKE ENERGY FIELD SVCS LLC,1119811,76-0632293
154355,1999,MARKET HUB PRTNRS STORAGE LP,1060240,76-0558052
154357,2001,QEP RESOURCES INC,1108827,87-0287750
154358,2001,SOUTH JERSEY GAS CO,1035216,21-0398330
154359,1998,TE PRODUCTS PIPELINE CO -LP,1045548,26-0431046
154360,2012,PARKS AMERICA INC,1297937,91-0626756
154373,2006,GATEWAY GOLD CORP,1361627,
154374,2003,HANCOCK JOHN PFD INCM FD III,1215913,
154394,1989,PROVIGO INC,NA,
154414,2005,SOPHIRIS BIO INC,1563855,98-1008712
154433,2003,MINRAD INTL INC,1121225,87-0299034
154434,2001,MINDSPEED TECHNOLOGIES INC,1224370,01-0616769
154439,2002,VCG HOLDING CORP,1172852,84-1157022
154585,2003,COHEN & STEERS REIT & PF&INM,1224450,
154595,2005,MONARCH FINANCIAL HLDGS INC,1364856,20-4985388
154605,2003,ORAGENICS INC,1174940,59-3410522
154609,2003,WELLS FARGO MULTI-SEC INCOME,1227073,
154632,2003,NEUBERGER BERMAN INCOME OPP,1227699,
154638,2003,HELIOS HIGH INCOME FUND INC,1227122,
154653,2003,INNERGEX RENEWABLE ENRGY INC,NA,
154673,2003,NUVEEN CREDIT STRATEGIES,1227476,
154677,2003,ENBRIDGE INCOME FUND HLDGS,NA,
154708,2003,TALON THERAPEUTICS INC,1140028,32-0064979
154709,2011,MABWE MINERALS INC -OLD,NA,36-4739442
154714,2001,JEFFERSON BANCSHARES INC/TN,1222915,45-0508261
154739,2003,GLADSTONE COMMERCIAL CORP,1234006,02-0681276
154754,2001,WHITE HOUSE INC-REDH,1078337,52-1413575
154755,2001,CAPITALSOURCE INC,1241199,35-2206895
154756,1998,REDENVELOPE INC,1236038,33-0844285
154757,2001,CLIFTON BANCORP INC,1592329,46-4757900
154758,2001,PROVIDENCE SERVICE CORP,1220754,86-0845127
154759,2001,RAINIER PACIFIC FINL GRP INC,1243800,87-0700148
154760,2001,CHEVIOT FINANCIAL CORP,1528843,90-0789920
154773,2010,CRH MEDICAL CORP,1461119,
154774,2003,NUVISTA ENERGY LTD,NA,
154794,2004,OIL SANDS SPLIT TRUST,NA,
154817,2012,CENTRAL GOLDTRUST,1364728,
154910,2004,VICEROY EXPLORATION LTD,1012454,
154984,2008,CHASE GENERAL CORP,15357,36-2667734
155073,2002,AMERICAN BANCORP NJ INC,1330039,55-0897507
155099,2003,PRIMARIS RETAIL REIT,NA,
155102,2003,PIONEER MUNICIPAL HIGH INCM,1223026,
155133,2001,K-SEA TRANSPORTATION  -LP,1178575,20-0194477
155174,2001,FIRST POTOMAC REALTY TRUST,1254595,37-1470730
155222,2004,ARISE TECHNOLOGIES CORP,NA,
155224,2006,QUESTERRE ENERGY CORP,NA,
155225,2008,RARE ELEMENT RESOURCES LTD,1419806,
155234,2003,LUMINENT MORTGAGE CAPITAL,1236309,06-1694835
155236,2004,STINGRAY COPPER INC,872003,
155277,2001,POTOMAC ELECTRIC POWER CO,79732,53-0127880
155280,2001,AIR TRANSPORT SERVICES GROUP,894081,26-1631624
155282,2001,FIRST CMNTY BK CORP AMER,1082564,65-0623023
155299,2001,BLACKHAWK RESOURCE CORP,863710,
155300,2001,TANQUERAY EXPLORATION LTD,NA,
155313,2003,YELLOW PAGES LTD,1557261,
155321,2004,BLACKROCK LTD DURATN INC TR,1233681,
155323,2003,NEUBERGER BERMAN H YLD ST FD,1487610,
155324,2004,ALLIANZGI CONV & INCM FD II,1227857,
155325,2002,IGATE COMPUTER SYSTEMS LTD,1324503,
155326,2004,WESTERN ASST GLBL HI INCM FD,1228509,
155335,2003,BLACKROCK MUNI NY INT DUR FD,1232863,
155336,2003,BLACKROCK MUNI INTERMED DUR,1232860,
155338,2004,BLACKROCK CR ALLOC INCM TR I,1229876,
155387,2010,TROVAGENE INC,1213037,27-2004382
155393,2001,WHITING PETROLEUM CORP,1255474,20-0098515
155394,2001,LKQ CORP,1065696,36-4215970
155395,2002,INTERNATIONAL STEEL GRP INC,1231868,71-0871875
155437,NA,ATIKWA RESOURCES INC,1263082,
155458,2002,GRANITE REAL ESTATE INVEST,1564538,
155462,NA,SEAIR INC,NA,
155515,2011,OLIVUT RESOURCES LTD,NA,
155519,2010,BRIDGEMARQ REAL ESTE SVCS IN,NA,
155583,2003,GREAT LAKES CARBON INCOME FD,NA,
155584,2003,LIBERTY BELL BANK,NA,22-3811547
155588,2004,PLUTONIC POWER CORP,NA,
155591,2000,SIMSMART INC,NA,
155613,2001,MAINSTREET EQUITY CORP,NA,
155614,2000,MIDDLEBROOK PHARMACEUTICALS,1161924,52-2208264
155615,1998,GENITOPE CORP,1028358,77-0436313
155616,2001,CINEDIGM CORP,1173204,22-3720962
155617,2002,NATURAL GOLF CORP,1039387,36-3745860
155618,2001,LIGHTFIRST INC-REDH,1255145,36-4437640
155654,NA,INDEXPLUS INCOME FUND,NA,
155696,2003,CI FIRST ASSET ACT CRDT ETF,NA,
155701,2002,QUANTA CAPITAL HOLDINGS LTD,1264242,
155728,2001,EL PASO PRODUCTION HLDG-REDH,1239454,76-0659544
155734,2001,CENTENNIAL SPECLTY FOODS CP,1227167,55-0825751
155735,2000,AMIS HOLDINGS INC,1161963,51-0309588
155736,2002,FRANKLIN BANK CORP,1207070,11-3626383
155737,1999,CANCERVAX CORP,NA,
155738,2001,NELNET INC,1258602,84-0748903
155753,1999,BRILLIAN CORP,NA,
155754,2001,ASHFORD HOSPITALITY TRUST,1232582,86-1062192
155757,2008,LEGEND INTL HOLDINGS INC,1132143,23-3067904
155758,2005,BLUE HOLDINGS INC,1139683,88-0450923
155759,2004,SELECT 50 S-1 INCOME TR,NA,
155770,2011,ESPERANZA RESOURCES CORP,1261252,
155794,1998,NITROMED INC,927829,22-3159793
155795,2000,PHARMION CORP,NA,84-1521333
155856,2001,KNBT BANCORP INC,1236964,38-3681905
155894,2007,QUEST SOLUTION INC,278165,20-3454263
155895,2004,PIMCO INCOME STRATEGY FUND,1244183,
155896,2004,MANAGED DURATION INVT MUN FD,1235511,
155897,1997,H&E EQUIPMENT SERVICES LLC,1177257,72-1287046
155898,2001,CHUKCHANSI ECON DEV AUT-REDH,1210298,16-1615196
155913,2003,PHARMACYTE BIOTECH INC,1157075,62-1772151
155914,2002,FIRST BANKING CENTER INC,356858,39-1391327
155915,2003,FRANKLIN LTD DUR INCOME TR,1233087,
155933,2000,LECG CORP,1192305,81-0569994
155934,2001,SIRVA INC  -REDH,1181232,52-2070058
155935,2001,TOLERRX INC-REDH,1131933,04-3522987
155936,2003,FLAHERTY & CRUMRINE TOT RET,1245648,
155938,2003,FIRST TR VALUE LINE DIV FD,NA,
155939,2003,DWS RREEF REAL ESTATE FD II,1231160,
155941,NA,TRACK GROUP INC,1045942,87-0543981
155969,2001,CENTERPOINT ENRG HOUSTON ELE,48732,22-3865106
155970,2001,ONCOR ELECTRIC DELIVERY CO,1193311,75-2967830
156013,2001,STRATABOUND MINERALS CP-OLD,NA,
156014,2001,NORTHAIR SILVER CORP,1553839,
156016,2014,SEACOAST COMMERCE BANC HLDG,1711044,
156036,2008,BIG 8 SPLIT INC,NA,
156093,2002,CREW ENERGY INC,1515645,
156095,2005,PUDA COAL INC,1162747,65-1129912
156125,1998,SIGMATEL INC,1043639,74-2691412
156133,2001,MYOGEN INC,1101052,84-1348020
156153,2001,XPERI CORP,1690666,81-4465732
156154,2001,COAST FINANCIAL HOLDINGS INC,1262276,14-1858265
156155,2001,SYNNEX CORP,1177394,94-2703333
156156,2002,FIRST MARBLEHEAD CORP,1262279,04-3295311
156157,2001,MARLIN BUSINESS SERVICES INC,1260968,38-3686388
156176,2002,ORIGEN FINANCIAL INC,1268039,20-0145649
156178,2003,CANETIC RESOURCES TRUST,1349237,
156214,2005,ALACER GOLD CORP,1060883,
156290,1999,FALCON FINANCIAL INVT TRUST,1262001,57-6208172
156291,2001,HIGHLAND HOSPITALITY CORP,1262415,57-1183293
156292,2000,EYETECH PHARMACEUTICALS INC,1115285,13-4104684
156293,2001,TERCICA INC,1262175,26-0042539
156383,2001,AMERICAN EQTY INVT LIFE HLDG,1039828,42-1447959
156384,2001,GLOBAL INDEMNITY LTD,1494904,98-1304287
156387,2006,PUBLIC CO MANAGEMENT CORP,1141964,88-0493734
156415,1999,PROVIDE COMMERCE INC,1263756,84-1450019
156416,2002,ALLEGHENY ENRG SUPPLY CO LLC,1159157,23-3020481
156417,2001,CENTRAL HUDSON GAS & ELECTR,18647,14-0555980
156418,2001,EXELON GENERATION CO LLC,1168165,23-3064219
156421,2013,PARAGON COMMERCIAL CORP,1414374,56-2278662
156513,2003,BLACKROCK MUN 2020 TERM TR,1181250,
156514,2003,BLACKROCK FLA MUN 2020 TERM,1181249,
156516,2004,DIVERSITRUST STABLE INCM FD,NA,
156517,2003,FIRST TRUST/FOUR CORNERS SR,1232461,
156518,2004,EATON VANCE TAX ADVT DIV INC,1253327,
156519,2004,ING CLARION RE INCOME FUND,1254634,
156520,2003,ISHARES CORE US AGGR BD ETF,NA,
156521,2004,NUVEEN DIVERSIFIED DIV INCM,1255821,
156522,2004,WESTERN ASS INF-LKD INCM FND,1254370,
156537,2003,CHEVY CHASE BANK FSB,856417,52-0897004
156556,2003,GUIDE EXPLORATION LTD,1433007,
156578,2001,ADVANCED EMISSIONS SOLUTIONS,1515156,27-5472457
156582,2003,FIDELITY NASDAQ COMP IND TRK,NA,
156584,2004,INTEGRITY BANCSHARES INC,1103764,58-2508612
156599,1998,PALMSOURCE INC,1178056,77-0586278
156600,2000,VFC INC,NA,
156602,NA,WAVEFRONT TECHNOLOGY SOLTNS,1296706,
156613,2001,CALLIDUS SOFTWARE INC,1035748,77-0438629
156614,2002,CONN'S INC,1223389,06-1672840
156615,2000,KINTERA INC,1117119,74-2947183
156616,2003,COATES MOTORCYCLE CO-REDH,1235935,56-2333469
156617,2003,ACORDA THERAPEUTICS INC,1008848,13-3831168
156618,2001,NEWALLIANCE BANCSHARES INC,1264755,52-2407114
156619,1999,ALPHASMART INC,1264388,77-0298384
156633,2002,UNIVERSAL TECHNICAL INST,1261654,86-0226984
156653,2003,FIRST BANKS INC,710507,43-1175538
156654,2002,KANSAS CITY POWER & LIGHT CO,54476,44-0308720
156655,2002,LACLEDE GAS CO,57183,43-0368139
156656,2001,MADISON GAS & ELECTRIC CO,61339,39-0444025
156675,2001,NORTHERN BORDER PIPELINE CO,1095355,74-2684967
156676,2002,TALEN ENERGY CORP,1622536,23-3074920
156714,2001,GOVERNMENT PROPERTIES TRUST,1266112,20-0611663
156716,1999,PPOL INC,1202507,95-4436774
156735,2003,ISHARES TRANSPORTATION AVG,NA,
156737,2008,AMERICAN LIFE HOLDING CO,1187449,52-2177342
156739,2003,CALPINE NATURAL GAS TRUST,NA,
156740,2003,MOVIE DISTRIBUTION INCOME FD,NA,
156815,2001,PSEG ENERGY HOLDINGS LLC,1089206,42-1544079
156816,2002,PSEG POWER LLC,1158659,22-3663480
156818,2002,PUBLIC SERVICE CO OF NEW MEX,81023,85-0019030
156819,2002,PUGET SOUND ENERGY INC,81100,91-0374630
156820,2001,SOUTHERN POWER CO,1160661,58-2598670
156822,NA,PUDO INC,1668112,
156825,2004,PIONEER MUN HIGH INC ADV TR,1258943,
156854,2004,CONVERTIBLE & YIELD ADV TR,NA,
156857,2001,GTX INC,NA,62-1715807
156858,2002,INTERCARD INC-REDH,1041256,43-1539150
156859,2004,HARBIN ELECTRIC INC,1266719,98-0403396
156860,2000,RENOVIS INC,1118361,94-3353740
156861,2001,TEMPUR SEALY INTL INC,1206264,33-1022198
156862,2001,AMERICAN ACHIEVEMENT CORP,1168468,13-4126506
156863,2000,AMERICAN CELLULAR CORP,1067075,22-3043811
156913,2003,BUSINESS TRUST EQUAL WT INCM,NA,
156933,2002,INTERLINE BRANDS INC,1292900,03-0542659
156953,2002,HILLTOP HOLDINGS INC,1265131,84-1477939
156973,2011,ANDOVER MINING CORP,NA,
156998,2004,CONNECTICUT BANK&TRUST CO/NE,NA,90-0115348
157017,2004,SCITI TRUST II,NA,
157020,1998,WHEELING PITTSBURGH CORP,941738,55-0309927
157040,2004,BLACKROCK FLTG RATE INCM STR,1259708,
157041,2004,NEUBERGER BERMAN RE SEC FD,1261166,
157053,2000,MONITRONICS INTL INC,1265107,74-2719343
157054,1998,NATIONAL WINE & SPIRITS INC,1081971,35-2064429
157055,2001,CARMANAH TECHNOLOGIES CORP,1085105,
157057,2001,ASSURANT INC,1267238,39-1126612
