,ABS ASSET CLASS:            ,BUSINESS PHONE,CENTRAL INDEX KEY,CITY,COMPANY CONFORMED NAME,CONFORMED PERIOD OF REPORT,DATE AS OF CHANGE,DATE OF NAME CHANGE,FILED AS OF DATE,FILM NUMBER,FISCAL YEAR END,FORM TYPE,FORMER CONFORMED NAME,IRS NUMBER,SEC ACT,SEC FILE NUMBER,STANDARD INDUSTRIAL CLASSIFICATION,STATE,STATE OF INCORPORATION,STREET 1,STREET 2,ZIP
1377149,,972-943-6050,0001377149,LEWISVILLE,CareView Communications Inc,,,,,19716535,,10-K,,954659068,1934 Act,000-54090,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT [3663],TX,NV,405 STATE HIGHWAY 121,SUITE B-240,75067
1377167,,469-342-9100,0001377167,ALLEN,"Financial Gravity Companies, Inc.",,,20061002,,19527681,0930,10-K,"KAT Racing, Inc.",204057712,1934 Act,001-34770,FINANCE SERVICES [6199],TX,NV,"800 N. WATTERS ROAD, SUITE 150",,75013
1377178,,201-447-9000,0001377178,MONTVALE,Ridgewood Energy U Fund LLC,,,,,19649010,1231,10-K,,000000000,1934 Act,000-52583,OIL AND GAS FIELD EXPLORATION SERVICES [1382],NJ,DE,14 PHILIPS PARKWAY,,07645
1377220,,2122722000,0001377220,NEW YORK,BSABS 2006-HE8,,,,,08966571,1231,10-K/A,,,1934 Act,333-131374-23,ASSET-BACKED SECURITIES [6189],NY,DE,383 MADISON AVENUE,,10179
1377256,,3154517515,0001377256,SHANDONG,"Qingdao Footwear, Inc.",,,20061003,,11812139,1231,10-K,"Datone, Inc",161591157,1934 Act,000-53075,"FOOTWEAR, (NO RUBBER) [3140]",F4,DE,269 FIRST HUASHAN ROAD,"JIMO CITY, QINGDAO",13089
1377318,,281-825-5000,0001377318,THE WOODLANDS,"HUNT GLOBAL RESOURCES, INC.",,,20061004,,12710092,1231,10-K,"TOMBSTONE CARDS, INC.",510541963,1934 Act,000-53515,COMMERCIAL PRINTING [2750],TX,CO,24 WATERWAY AVENUE,SUITE 200,77380
1377469,,(203) 823-9136,0001377469,NEW HAVEN,"PEGASUS TEL, INC.",,,20061004,,13778264,1231,10-K/A,"Pegasus Tel, Inc",412039686,1934 Act,001-35063,RADIO TELEPHONE COMMUNICATIONS [4812],CT,DE,116 COURT STREET,SUITE 707,06511
1377490,,972-9-9500245,0001377490,HERZELIYA,Pinpoint Advance CORP,,,,,12726719,1231,10-K,,331144642,1934 Act,000-52562,BLANK CHECKS [6770],L3,,4 MASKIT STREET,,46700
1377601,,2127614700,0001377601,NEW YORK,Morgan Stanley Mortgage Loan Trust 2006-15XS,,,,,08863069,1231,10-K/A,,,1934 Act,333-130684-15,ASSET-BACKED SECURITIES [6189],NY,DE,1585 BROADWAY,2ND FL,10036
1377610,,212272-2000,0001377610,NEW YORK,Bear Stearns Mortgage Funding Trust 2006-AR3,,,,,08962751,1231,10-K/A,,,1934 Act,333-132232-21,ASSET-BACKED SECURITIES [6189],NY,DE,383 MADISON AVENUE,,10179
1377630,,(303) 792-3600,0001377630,CENTENNIAL,"National CineMedia, Inc.",,,,,19623634,1227,10-K,,205665602,1934 Act,001-33296,SERVICES-ADVERTISING [7310],CO,DE,6300 S. SYRACUSE WAY,SUITE 300,80111
1377720,,310-826-1781,0001377720,LOS ANGELES,CYBERDEFENDER CORP,,,,,11730949,1231,10-K,,651205833,1934 Act,001-34764,SERVICES-PREPACKAGED SOFTWARE [7372],CA,CA,"12121 WILSHIRE BOULEVARD, SUITE 350",,90025
1377789,,4089417100,0001377789,MILPITAS,"AVIAT NETWORKS, INC.",,,20100126,,191057479,0628,10-K,"HARRIS STRATEX NETWORKS, INC.",205961564,1934 Act,001-33278,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT [3663],CA,,"860 N. MCCARTHY BLVD, SUITE 200",,95035
1377848,,2124184700,0001377848,NEW YORK,"ICON LEASING FUND TWELVE, LLC",,,20061010,,19701488,1231,10-K,"ICON Leasing Fund Twelve, LLC",205651009,1934 Act,000-53189,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC [7359]",NY,DE,3 PARK AVENUE,36TH FLOOR,10011
1377888,,3614566061,0001377888,SOROKSARI,Power of The Dream Ventures Inc,,,20061010,,15742244,1231,10-K,"Tia V,Inc",510597895,1934 Act,000-52289,SERVICES-ENGINEERING SERVICES [8711],K5,DE,1095 BUDAPEST,,94-96
1377889,,718-442-6272,0001377889,"STATEN ISLAND,","Tia IV, Inc",,,,,10510479,0930,10-K,,760836770,1934 Act,000-52288,BLANK CHECKS [6770],NY,DE,"482 MANOR ROAD,",,10314
1377893,,3157039017,0001377893,LIVERPOOL,"Tia II, Inc",,,,,11528266,0930,10-K,,510597958,1934 Act,000-52286,BLANK CHECKS [6770],NY,DE,PO BOX 3143,,13089
1377895,,3157039017,0001377895,LIVERPOOL,"Tia I, Inc",,,,,11528256,0930,10-K,,510597955,1934 Act,000-52285,BLANK CHECKS [6770],NY,DE,PO BOX 3143,,13089
1377902,,6329165670,0001377902,QUEZON CITY METRO MANILA,"eTelecare Global Solutions, Inc.",,,,,08687749,1231,10-K,,980467478,1934 Act,001-33362,"SERVICES-BUSINESS SERVICES, NEC [7389]",R6,,31ST FLOOR CYBERONE BUILDING,"EASTWOOD CITY, CYBERPARK BAGUMBAYAN",1110
1377906,,206-461-2000,0001377906,SEATTLE,"Washington Mutual Asset-Backed Certificates, WMABS Series 2006-HE4",,,,,08841292,1231,10-K/A,,,1934 Act,333-130795-36,ASSET-BACKED SECURITIES [6189],WA,DE,"1201 THIRD AVENUE, 17TH FLOOR",,98101
1377936,,212 750-3343,0001377936,NEW YORK,SARATOGA INVESTMENT CORP.,,,20061011,,19820047,0228,10-K,GSC Investment LLC,204876925,1934 Act,814-00732,,NY,MD,535 MADISON AVENUE,,10022
1377940,,604 539-9680,0001377940,LANGLEY,"Border Management, Inc.",,,,,111144265,1231,10-K,,205088293,1934 Act,000-53751,SERVICES-MANAGEMENT CONSULTING SERVICES [8742],A1,NV,968 - 240TH STREET,,V2Z 2Y3
1377963,,(452) 453-1090,0001377963,BELLEVUE,WESTMONT RESOURCES INC.,,,,,101072242,0531,10-K,,760773948,1934 Act,000-52398,METAL MINING [1000],WA,NV,"10610 NE 9TH PLACE, SUITE 2407",,98004
1377967,,2128167496,0001377967,NEW YORK,Structured Products Corp. CorTS Trust VI for IBM Debentures,,,,,12714066,1231,10-K,,,1934 Act,811-21967,ASSET-BACKED SECURITIES [6189],NY,DE,388 GREENWICH STREET,,10013
1377970,,(847) 884-1877,0001377972,HOFFMAN ESTATES,Barrington Broadcasting Group LLC,,,,,08715367,1231,10-K,,204841532,1934 Act,333-140510,TELEVISION BROADCASTING STATIONS [4833],IL,DE,C/O BARRINGTON BROADCASTING GROUP LLC,"2500 W. HIGGINS ROAD, SUITE 155",60169
1377972,,(847) 884-1877,0001377972,HOFFMAN ESTATES,Barrington Broadcasting Group LLC,,,,,08715367,1231,10-K,,204841532,1934 Act,333-140510,TELEVISION BROADCASTING STATIONS [4833],IL,DE,C/O BARRINGTON BROADCASTING GROUP LLC,"2500 W. HIGGINS ROAD, SUITE 155",60169
1378020,,215-864-6000,0001378020,PHILADELPHIA,Beneficial Mutual Bancorp Inc,,,,,14681939,1231,10-K,,562480744,1934 Act,001-33476,"SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035]",PA,X1,510 WALNUT STREET,,19106
1378036,,5114477851,0001378036,"MIRAFLORES, LIMA",Dana Resources,,,20061012,,091228220,0630,10-K/A,DanaPc.com,205244503,1934 Act,333-138471,"SERVICES-BUSINESS SERVICES, NEC [7389]",R5,WY,810 MALECON CISNEROS,,18
1378044,,212 446 6111,0001378044,NEW YORK,REIDCO ACQUISITION I INC,,,,,10537045,1031,10-K/A,,020786379,1934 Act,000-52373,BLANK CHECKS [6770],NY,DE,SPENCER CLARKE LLC,"545 FIFTH AVENUE, 6TH FLOOR",10017
1378074,,3105560080,0001378074,LOS ANGELES,"Star Financial Direct Placement, Inc.",,,,,08750162,1231,10-K,,000000000,1934 Act,000-52261,BLANK CHECKS [6770],CA,DE,1880 CENTURY PARK EAST,SUITE 315,90067
1378076,,250-545-0383,0001378076,CALGARY,"Okana Ventures, Inc.",,,,,13758981,1231,10-K,,202881151,1934 Act,001-33715,GOLD & SILVER ORES [1040],A0,NV,#159 ? 918 16TH AVENUE,,T2M 0K3
1378096,,44 20 7398 6300,0001378096,LONDON,Permanent Master Issuer plc,,,20061012,,08717334,1231,10-K,Permanent Master Issuer plc Issue 2006-1 Notes,000000000,1934 Act,333-137495-01,ASSET-BACKED SECURITIES [6189],X0,,35 GREAT SAINT HELEN'S,,EC3A 6AP
1378125,,(702) 990-3578,0001378125,LAS VEGAS,Toga Ltd,,,20061012,,19692645,0731,10-K,Blink Couture Inc.,980568153,1934 Act,000-55865,SERVICES-TELEPHONE INTERCONNECT SYSTEMS [7385],NV,,"3960 HOWARD HUGHES PKWY, SUITE 500",,89169
1378140,,609-730-0400,0001378140,MONROE TOWNSHIP,"Ocean Power Technologies, Inc.",,,20061012,,19965675,0430,10-K,"Ocean Power Technologies, INc.",222535818,1934 Act,001-33417,ELECTRIC SERVICES [4911],NJ,NJ,28 ENGELHARD DRIVE,SUITE B,08831
1378195,,206-357-4220,0001378195,SEATTLE,"Mogul Energy International, Inc.",,,,,12754062,1231,10-K,,980461623,1934 Act,333-138806,CRUDE PETROLEUM & NATURAL GAS [1311],WA,DE,"520 PIKE TOWER, SUITE 2210",,98101
1378270,,011-86-29-88222938,0001378270,"XI'AN, SHAANXI","China Agri-Business, Inc.",,,,,11727303,1231,10-K,,203912942,1934 Act,333-140118,AGRICULTURE CHEMICALS [2870],F4,MD,FINANCE PLAZA 9TH FLOOR HI-TECH ROAD NO.,42 HI-TECH INDUSTRIAL DEVELOPMENT ZONE,710068
1378280,,2122722000,0001378280,NEW YORK,SACO I Trust 2006-10,,,,,08971170,1231,10-K/A,,,1934 Act,333-131374-25,ASSET-BACKED SECURITIES [6189],NY,DE,383 MADISON AVENUE,,10179
1378380,,,0001378380,NEW YORK,GSAA Home Equity Trust 2006-17,,,,,08925915,1231,10-K/A,,,1934 Act,333-132809-33,ASSET-BACKED SECURITIES [6189],NY,DE,85 BROAD STREET,,10004
1378451,,212-650-0232,0001378451,NEW YORK,Alyst Acquisition Corp.,,,,,09735178,1231,10-K/A,,205385199,1934 Act,001-33563,SERVICES-ADVERTISING [7310],NY,DE,"233 EAST 69TH STREET, #6J",,10021
1378453,,440-808-9100,0001378453,WESTLAKE,TRAVELCENTERS OF AMERICA LLC,,,,,19632232,1231,10-K,,205701514,1934 Act,001-33274,RETAIL-AUTO DEALERS & GASOLINE STATIONS [5500],OH,,24601 CENTER RIDGE ROAD,,44145
1378506,,,0001378506,NEW YORK,Citigroup Mortgage Loan Trust 2006-FX1,,,,,08899686,,10-K/A,,,1934 Act,333-131136-14,ASSET-BACKED SECURITIES [6189],NY,,390 GREENWICH STREET,,10013
1378555,,2127132000,0001378555,NEW YORK,MASTR Asset Backed Securities Trust 2006-AM3,,,,,08874052,1231,10-K/A,,,1934 Act,333-130373-12,ASSET-BACKED SECURITIES [6189],NY,DE,1285 AVENUE OF THE AMERICAS,,10019
1378590,,781 376 5555,0001378590,BURLINGTON,"Bridgeline Digital, Inc.",,,20061018,,181257725,0930,10-K,"Bridgeline Software, Inc.",522263942,1934 Act,001-33567,SERVICES-PREPACKAGED SOFTWARE [7372],MA,DE,80 BLANCHARD ROAD,,01803
1378619,,,0001378619,NEW YORK,GSAMP Trust 2006-HE7,,,,,08928010,1231,10-K/A,,,1934 Act,333-132809-35,ASSET-BACKED SECURITIES [6189],NY,DE,85 BROAD STREET,,10004
1378624,,(347) 905 5663,0001378624,NEW YORK,"Cellular Biomedicine Group, Inc.",,,20061019,,19615802,1231,10-K,EastBridge Investment Group Corp,861032927,1934 Act,001-36498,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836],NY,DE,1345 AVENUE OF THE AMERICAS,11TH FLOOR,10105
1378625,,1-302-295-4937,0001378625,WILMINGTON,GOLDEN CENTURY RESOURCES Ltd,,,20061019,,111177380,0630,10-K/A,Golden Century Technologies CORP,000000000,1934 Act,000-52842,MISCELLANEOUS PLASTIC PRODUCTS [3080],DE,DE,SUITE 1200,1000 N. WEST ST,19801
1378670,,800-367-7284,0001378670,JANESVILLE,Greenville Tube CO,,,,,09836867,0131,10-K,,710942689,1934 Act,333-134875-01,STEEL PIPE & TUBES [3317],WI,DE,2505 FOSTER AVENUE,SUITE 210,53547
1378706,,781-622-1120,0001378706,WALTHAM,AMERICAN DG ENERGY INC,,,,,17705035,1231,10-K,,043569304,1934 Act,001-34493,ELECTRIC & OTHER SERVICES COMBINED [4931],MA,DE,45 FIRST AVENUE,,02451
1378718,,661-775-7200,0001378718,VALENCIA,"Wesco Aircraft Holdings, Inc",,,20061019,,181188327,,10-K,Wesco Holdings Inc,205441563,1934 Act,001-35253,WHOLESALE-HARDWARE [5072],CA,,24911 AVENUE STANFORD,,91355
1378774,,4079997679,0001378774,ORLANDO,Sentio Healthcare Properties Inc,,,20061019,,17698529,1231,10-K,"Cornerstone Institutional Growth REIT, Inc.",205721212,1934 Act,000-53969,REAL ESTATE INVESTMENT TRUSTS [6798],FL,MD,189 SOUTH ORANGE AVENUE,SUITE 1700,32801
1378846,,(646) 722-6260,0001378846,NEW YORK,"interclick, inc.",,,20061020,,11704454,0625,10-K/A,"Outsiders Entertainment, Inc.",010692341,1934 Act,001-34523,SERVICES-ADVERTISING [7310],NY,DE,200 PARK AVENUE SOUTH,SUITE 908-909,10003
1378866,,775-321-8243,0001378866,CARSON CITY,"PHOTOMATICA, INC.",,,,,081015373,0430,10-K,,204412118,1934 Act,000-52638,"SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART & PHOTOGRAPHY [7330]",NV,NV,112 NORTH CURRIE STREET,,89703-4934
1378876,,212272-2000,0001378876,NEW YORK,Bear Stearns ALT-A Trust 2006-7,,,,,08961400,1231,10-K/A,,,1934 Act,333-132232-22,ASSET-BACKED SECURITIES [6189],NY,DE,383 MADISON AVENUE,,10179
1378929,,206-461-2000,0001378929,SEATTLE,"Washington Mutual Mortgage Pass-Through Certificates, WMALT Series 2006-AR10",,,,,08841177,1231,10-K/A,,,1934 Act,333-130795-43,ASSET-BACKED SECURITIES [6189],WA,DE,"1201 THIRD AVENUE, 17TH FLOOR",,98101
1378943,,212272-2000,0001378943,NEW YORK,Bear Stearns Mortgage Funding Trust 2006-AR4,,,,,08963706,1231,10-K/A,,,1934 Act,333-132232-23,ASSET-BACKED SECURITIES [6189],NY,DE,383 MADISON AVENUE,,10179
1378946,,203-338-4114,0001378946,BRIDGEPORT,"People's United Financial, Inc.",,,,,19649448,1231,10-K,,000000000,1934 Act,001-33326,"SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035]",CT,DE,C/O PEOPLE'S BANK,850 MAIN STREET,06604
1378948,,212-560-5195,0001378948,NEW YORK,TRILLIANT EXPLORATION CORP,,,20061023,,13760345,1231,10-K,"Project Development Pacific, Inc.",200936313,1934 Act,333-138332,METAL MINING [1000],NY,NV,545 EIGHTH AVENUE,SUITE 401,10018
1378950,,(310) 735-0085,0001378950,CARSON,"U.S. Auto Parts Network, Inc.",,,,,19676582,1229,10-K,,680623433,1934 Act,001-33264,RETAIL-AUTO & HOME SUPPLY STORES [5531],CA,DE,16941 KEEGAN AVE,,90746
1378992,,8124242904,0001378992,EVANSVILLE,BERRY GLOBAL GROUP INC,,,20061024,,181190694,0926,10-K,BERRY PLASTICS GROUP INC,000000000,1934 Act,001-35672,"PLASTICS PRODUCTS, NEC [3089]",IN,DE,101 OAKLEY STREET,PO BOX 959,47710
1379006,,(203) 937-6137,0001379006,SHELTON,"NANOVIRICIDES, INC.",,,,,191049702,0630,10-K,,760674577,1934 Act,001-36081,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH [8731],CT,NV,1 CONTROLS DRIVE,,06484
1379041,,775-327-2936,0001379041,RENO,"Employers Holdings, Inc.",,,,,19643054,1231,10-K,,043850065,1934 Act,001-33245,"FIRE, MARINE & CASUALTY INSURANCE [6331]",NV,NV,10375 PROFESSIONAL CIRCLE,,89521
1379043,,360-929-6860,0001379043,LIVERPOOL,"DUKE MOUNTAIN RESOURCES, INC.",,,20061025,,191063409,1231,10-K,"Duke Mountain Resources, Inc",980503336,1934 Act,333-140177,METAL MINING [1000],NY,NV,P.O. BOX 2711,,13089
1379075,,781-557-1300,0001379075,WAKEFIELD,FSP 50 South Tenth Street Corp,,,,,17724685,,10-K,,000000000,1934 Act,000-52551,REAL ESTATE INVESTMENT TRUSTS [6798],MA,,401 EDGEWATER PLACE,,01880
1379173,,8186050957,0001379173,BURBANK,"SKYLYFT Media Group, Inc.",,,,,09751509,1231,10-K,,030533701,1934 Act,000-52367,SERVICES-ADVERTISING [7310],CA,DE,100 EAST VERDUGO AVE.,,91502
1379245,,(310) 899-3900,0001379245,SANTA MONICA,"PEARTRACK SECURITY SYSTEMS, INC.",,,20061026,,161699754,1231,10-K,"Heritage Explorations, Inc.",261875304,1934 Act,333-139045,SERVICES-AUTO RENTAL & LEASING (NO DRIVERS) [7510],CA,NV,1327 OCEAN AVE SUITE B,,90401
1379246,,904-737-0811,0001379246,JACKSONVILLE,BODY CENTRAL CORP,,,20061026,,14719717,1231,10-K,BODY CENTRAL ACQUISITION CORP,000000000,1934 Act,001-34906,RETAIL-APPAREL & ACCESSORY STORES [5600],FL,,6225 POWERS AVENUE,,32217
1379377,,416-200-0657,0001379377,TORONTO,MAXLIFE FUND CORP.,,,,,101194956,0831,10-K,,000000000,1934 Act,333-138298,FINANCE SERVICES [6199],A6,WY,2788 BATHURST STREET,SUITE 306,M6B 3A3
1379378,,7133816500,0001379378,HOUSTON,Duncan Energy Partners L.P.,,,,,11649691,1231,10-K,,205639997,1934 Act,001-33266,NATURAL GAS TRANSMISSION [4922],TX,DE,"1100 LOUISIANA STREET, 10TH FLOOR",,77002
1379394,,646 486 9770,0001379394,NEW YORK,GCA II ACQUISITION CORP,,,,,081048108,0531,10-K,,141973533,1934 Act,001-33115,BLANK CHECKS [6770],NY,DE,115 E 57TH STREET,SUITE 1006,10022
1379396,,646 486 9770,0001379396,NEW YORK,GCA I ACQUISITION CORP,,,,,101070444,0531,10-K,,141973529,1934 Act,000-52431,WHOLESALE-GROCERIES & RELATED PRODUCTS [5140],NY,DE,115 E 57TH STREET,SUITE 1006,10022
1379404,,2125267000,0001379404,NEW YORK,"Corporate Backed Callable Trust Certificates, J.C. Penny Debenture-Backed Series 2006-1 Trust",,,,,19711911,1231,10-K,,,1934 Act,001-33157,ASSET-BACKED SECURITIES [6189],NY,DE,745 SEVENTH AVE,,10019
1379420,,212-403-0300,0001379420,NEW YORK,"RAFAELLA APPAREL GROUP,INC.",,,,,101122317,0630,10-K,,202745750,1934 Act,333-138342,"WHOLESALE-APPAREL, PIECE GOODS & NOTIONS [5130]",NY,DE,P.O.BOX 856,,10018
1379527,,800-845-8103,0001379606,ATLANTA,WisdomTree Continuous Commodity Index Fund,,,20061031,,19643302,1231,10-K,GreenHaven Continuous Commodity Index Fund,000000000,1934 Act,001-33909, [6221],GA,DE,C/O GREENHAVEN COMMODITY SERVICES,"3340 PEACHTREE ROAD, SUITE 1910",30326
1379606,,800-845-8103,0001379606,ATLANTA,WisdomTree Continuous Commodity Index Fund,,,20061031,,19643302,1231,10-K,GreenHaven Continuous Commodity Index Fund,000000000,1934 Act,001-33909, [6221],GA,DE,C/O GREENHAVEN COMMODITY SERVICES,"3340 PEACHTREE ROAD, SUITE 1910",30326
1379661,,(713)584-1000,0001379661,HOUSTON,Targa Resources Partners LP,,,,,19648037,1231,10-K,,651295427,1934 Act,001-33303,NATURAL GAS TRANSMISSION [4922],TX,DE,1000 LOUISIANA,SUITE 4300,77002
1379699,,1-800-783-3128,0001379699,"LOS ANGELES,",Digital Development Group Corp,,,20061031,,14820999,1231,10-K/A,"Regency Resources, Inc.",000000000,1934 Act,000-53611,SERVICES-PREPACKAGED SOFTWARE [7372],CA,NV,6630 SUNSET BLVD.,,90028
1379714,,(713) 375-5000,0001379714,HOUSTON,"Sabine Pass LNG, L.P.",,,,,161467813,1231,10-K/A,,200466069,1934 Act,333-138916,NATURAL GAS DISTRIBUTION [4924],TX,DE,700 MILAM ST.,SUITE 1900,77002
1379725,,303-979-2404,0001379725,DENVER,"AgriSolar Solutions, Inc.",,,20061031,,11967765,0331,10-K,V2K International Inc,205614030,1934 Act,333-141201,FARM MACHINERY & EQUIPMENT [3523],CO,CO,"1175 OSAGE, #204",,80204
1379744,,206-461-2000,0001379744,SEATTLE,"WaMu Mortgage Pass-Through Certificates, Series 2006-AR16",,,,,08841162,1231,10-K/A,,,1934 Act,333-130795-38,ASSET-BACKED SECURITIES [6189],WA,DE,"1201 THIRD AVENUE, 17TH FLOOR",,98101
1379745,,206-461-2000,0001379745,SEATTLE,"WaMu Mortgage Pass-Through Certificates, Series 2006-AR17",,,,,08841160,1231,10-K/A,,,1934 Act,333-130795-39,ASSET-BACKED SECURITIES [6189],WA,DE,"1201 THIRD AVENUE, 17TH FLOOR",,98101
1379746,,714-939-5200,0001379746,ANAHEIM,Long Beach Mortgage Loan Trust 2006-10,,,,,08841143,1231,10-K/A,,,1934 Act,333-131252-08,ASSET-BACKED SECURITIES [6189],CA,DE,1400 SOUTH DOUGLASS ROAD,SUITE 100,92806
1379763,,412-489-0006,0001379763,PITTSBURGH,Atlas America Series 27-2006 L.P.,,,20061101,,161572620,1231,10-K,Atlas America Series 27-2006 LP,205242075,1934 Act,000-52615,CRUDE PETROLEUM & NATURAL GAS [1311],PA,DE,PARK PLACE CORPORATE CENTER ONE,1000 COMMERCE DR. 4TH FLOOR,15275
1379784,,2122722000,0001379784,NEW YORK,Bear Stearns Mortgage Funding Trust 2006-SL4,,,,,08965441,1231,10-K/A,,,1934 Act,333-131374-26,ASSET-BACKED SECURITIES [6189],NY,DE,383 MADISON AVENUE,,10179
1379785,,(704) 805-7200,0001379785,CHARLOTTE,"Barings BDC, Inc.",,,20061101,,19637922,1231,10-K,Triangle Capital CORP,061798488,1934 Act,814-00733,,NC,MD,300 SOUTH TRYON STREET,SUITE 2500,28202
1379810,,212-671-0404,0001379810,NEW YORK,"Ruby Creek Resources, Inc.",,,20061101,,111261691,0831,10-K,Ruby Creek Resources Inc,264329046,1934 Act,000-52354,MISCELLANEOUS METAL ORES [1090],NY,NV,750 3RD AVENUE,11TH FLOOR,10017
1379841,,2122722000,0001379841,NEW YORK,Bear Stearns Asset Backed Securities I Trust 2006-HE9,,,,,08967060,1231,10-K/A,,,1934 Act,333-131374-27,ASSET-BACKED SECURITIES [6189],NY,DE,383 MADISON AVENUE,,10179
1379895,,(713) 507-6400,0001379895,HOUSTON,DYNEGY INC.,,,20061102,,18785055,1231,10-K/A,"Dynegy Acquisition, Inc.",205653152,1934 Act,001-33443,ELECTRIC SERVICES [4911],TX,DE,"601 TRAVIS, SUITE 1400",,77002
1379905,,2127132000,0001379905,NEW YORK,MASTR Adjustable Rate Mortgages Trust 2007-1,,,20061102,,08722228,1231,10-K,MASTR Adjustable Rate Mortgages Trust 2006-3,000000000,1934 Act,333-130373-20,ASSET-BACKED SECURITIES [6189],NY,,1285 AVENUE OF THE AMERICAS,,10019
1380024,,805-684-1830,0001380024,WEST PALM BEACH,"SentiSearch, Inc.",,,,,11726448,1231,10-K,,205655648,1934 Act,000-52320,PATENT OWNERS & LESSORS [6794],FL,DE,"1217 SOUTH FLAGLER DRIVE, 3RD FLOOR",,33401
1380075,,2122722000,0001380075,NEW YORK,Bear Stearns Asset Backed Securities Trust 2006-4,,,20061103,,08961417,1231,10-K/A,Bear Stearns Asset Backed Securities 2006-4,000000000,1934 Act,333-131374-28,ASSET-BACKED SECURITIES [6189],NY,,383 MADISON AVENUE,,10179
1380277,,727-498-8514,0001380277,ST PETERSBURG,"INFRAX SYSTEMS, INC.",,,20061106,,18928686,1231,10-K,TALARI SAM,202583185,1934 Act,000-52488,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373],FL,FL,3637 4TH ST N SUITE 330,,33704
1380393,,212-798-6100,0001380393,NEW YORK,Fortress Investment Group LLC,,,20061107,,17796800,1231,10-K/A,Fortress Investment Group Holdings LLC,000000000,1934 Act,001-33294,INVESTMENT ADVICE [6282],NY,DE,1345 AVENUE OF THE AMERICAS,46TH FLOOR,10105
1380412,,626-683-7330,0001380412,PASADENA,HK GRAPHENE TECHNOLOGY CORP,,,20130627,,161571770,1231,10-K,Hygeialand Biomedical Corp,205308449,1934 Act,333-140148,METAL MINING [1000],CA,NV,800 E COLORADO BLVD,STE 888,91101
1380457,,(212) 907-6522,0001380457,NEW YORK,"Sino Fibre Communications, Inc.",,,,,09755848,1231,10-K/A,,760616470,1934 Act,000-52709,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813],NY,NV,405 LEXINGTON AVENUE,26TH FLOOR,10174
1380509,,214-265-0880,0001380509,DALLAS,"HFF, Inc.",,,,,19782838,1231,10-K/A,,510610340,1934 Act,001-33280,"LESSORS OF REAL PROPERTY, NEC [6519]",TX,DE,ONE VICTORY PARK,"2323 VICTORY AVENUE, SUITE 1200",75219
1380528,,8627-8798-5051,0001380528,HUBEI PROVIDENCE,GC China Turbine Corp.,,,20061108,,11728621,0731,10-K,Vista Dorada Corp.,000000000,1934 Act,001-33442,ENGINES & TURBINES [3510],F4,NV,"NO. 86, NANHU AVENUE","EAST LAKE DEVELOPMENT ZONE, WUHAN,",430223
1380565,,713-839-8856,0001380565,HOUSTON,"Vantage Energy Services, Inc.",,,,,08651249,1231,10-K,,510599779,1934 Act,001-33496,"OIL, GAS FIELD SERVICES, NBC [1389]",TX,DE,6435 VANDERBILT STREET,,77005
1380595,,,0001380595,NEW YORK,GSAA Home Equity Trust 2006-18,,,,,08925928,1231,10-K/A,,,1934 Act,333-132809-36,ASSET-BACKED SECURITIES [6189],NY,DE,85 BROAD STREET,,10004
1380706,,86-13168096855,0001380706,"LUFUNG DISTRICT, SHENZHEN,","China Domestica Bio-technology Holdings, Inc.",,,20061109,,131058357,0331,10-K,"Cienega Creek Holdings, Inc.",205432794,1934 Act,000-53364,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION [7990],F4,NV,"ROOM 2303, 2304 SHENFANG SQUARE","3005 RENMING ROAD SOUTH,",518001
1380712,,8588752000,0001380712,SAN DIEGO,1st Pacific Bancorp,,,,,09777825,1231,10-K/A,,205738252,1934 Act,001-33890,STATE COMMERCIAL BANKS [6022],CA,CA,9333 GENESEE AVENUE,SUITE 300,92121
1380713,,7868593585,0001380713,HIALEAH,Cortronix Biomedical Advancement Technologies Inc.,20130831,20140422,20061109,20140422,14775090,1122,10-K/A,Pana-Minerales S.A.,980515701,1934 Act,000-53700,GOLD & SILVER ORES [1040],FL,,"4591 WEST 8 PL.,",,33012
1380765,,508-247-9200,0001380765,ORLEANS,ONEPAK INC,,,,,10768036,1231,10-K,,202649978,1934 Act,000-53829,"SERVICES-BUSINESS SERVICES, NEC [7389]",MA,NV,56 MAIN ST. 2ND FLOOR,P.O. BOX 130,02653
1380799,,206-461-2000,0001380799,SEATTLE,"Washington Mutual Asset-Backed Certificates, WMABS Series 2006-HE5",,,,,08841286,1231,10-K/A,,,1934 Act,333-130795-40,ASSET-BACKED SECURITIES [6189],WA,DE,"1201 THIRD AVENUE, 17TH FLOOR",,98101
