,source,target,relation
4,"Wonder Auto Technology, Inc","Jingda Rea Special Enamelled Wire Co., Ltd.",Supply
5,"Wonder Auto Technology, Inc",Zhejiang Huanfang Auto Electrical Appliance Co. Ltd.,Supply
6,"Wonder Auto Technology, Inc","Zhejiang Yuhuan Solenoid Co., Ltd.",Supply
7,"Wonder Auto Technology, Inc","Jinzhou Hirvon Auto Electronics Co., Ltd.",Supply
10,"Wonder Auto Technology, Inc",Jingda Rea Special Enameled Wire Co. Ltd.,Supply
15,"Wonder Auto Technology, Inc",Zhejiang Yuhuan Solenoid Co.,Supply
16,"Wonder Auto Technology, Inc",SEC,Supply
19,"Wonder Auto Technology, Inc",Company,Supply
20,"Wonder Auto Technology, Inc",The       Company,Supply
22,"Wonder Auto Technology, Inc",EMS,Supply
0,"Wonder Auto Technology, Inc","SAIC GM Wuling Automobile Co., Ltd.",customers
1,"Wonder Auto Technology, Inc",Beijing Hyundai Motor Company,customers
2,"Wonder Auto Technology, Inc","Shenyang Aerospace Mitsubishi Motors Engine Co., Ltd.",customers
3,"Wonder Auto Technology, Inc","Harbin Dongan Automotive Engine Co., Ltd.",customers
4,"Wonder Auto Technology, Inc","Shanghai Volkswagen Co., Ltd.",customers
5,"Wonder Auto Technology, Inc",BYD Company Limited,customers
6,"Wonder Auto Technology, Inc","Tianjin Toyota Co., Ltd.",customers
7,"Wonder Auto Technology, Inc","Chery Automobile Co., Ltd.",customers
8,"Wonder Auto Technology, Inc","Dongfeng Yueda Kia Motors Co., Ltd.",customers
9,"Wonder Auto Technology, Inc","Geely Automobile Co., Ltd.",customers
10,"Wonder Auto Technology, Inc","Tianjin FAW Xiali Automobile Co., Ltd.",customers
11,"Wonder Auto Technology, Inc",Hyundai,customers
14,"Wonder Auto Technology, Inc","Weichai Engine Logistic Co., Ltd.",customers
15,"Wonder Auto Technology, Inc","Mianyang Xinchen Engine Co., Ltd.",customers
16,"Wonder Auto Technology, Inc","Shanghai GM Wuling Automotive Co., Ltd.",customers
17,"Wonder Auto Technology, Inc",Guangxi Yuchai Machinery Holdings Company,customers
18,"Wonder Auto Technology, Inc",Jiangsu Mobis Auto Parts Company,customers
19,"Wonder Auto Technology, Inc",Magneti Marelli Suspension System (,customers
21,"Wonder Auto Technology, Inc","Mobis Auto Parts Co., Ltd.",customers
23,"Wonder Auto Technology, Inc",FAW,customers
24,"Wonder Auto Technology, Inc",Chery Automobile,customers
25,"Wonder Auto Technology, Inc",Shanghai GM Wuling,customers
26,"Wonder Auto Technology, Inc",Jinheng Holding,customers
39,"Wonder Auto Technology, Inc",Company,customers
41,"Wonder Auto Technology, Inc",The       Company,customers
43,"Wonder Auto Technology, Inc",Jinan Worldwide,customers
45,"Wonder Auto Technology, Inc",Company’s,customers
46,"Wonder Auto Technology, Inc",Hyundai Motor Company,customers
50,"Wonder Auto Technology, Inc",Customer Contracts Customer,customers
0,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",CNG,Supply
4,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",OEM,Supply
11,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Original Equipment Manufacturers,Supply
12,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Q-Rail LITE CNG,Supply
14,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.","Ryder Systems, Inc.",Supply
15,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Mainstay Fuel Technologies,Supply
19,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",CA,Supply
24,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Schneider Power,Supply
25,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Zephyr,Supply
26,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Samsung,Supply
28,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Operations,Supply
0,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Fuel Storage & Systems,customers
1,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Advanced Green Innovations,customers
2,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",CNG,customers
4,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Fisker Auto Group,customers
5,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",OEM,customers
15,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Schneider Power,customers
16,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Original Equipment Manufacturers,customers
18,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Financial Information about Segments,customers
19,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Customer Concentrations and Geographic Areas,customers
28,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",LNG,customers
31,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Q-Rail LITE CNG,customers
33,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.","Ryder Systems, Inc.",customers
34,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Mainstay Fuel Technologies,customers
38,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",CA,customers
41,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",AGI,customers
44,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",the Fisker Auto Group,customers
47,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",the General Motors',customers
48,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",Impala,customers
51,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",ASU,customers
53,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",LLC,customers
55,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",ZHRO Solutions,customers
57,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",ZHRO,customers
0,"QUANTUM FUEL SYSTEMS TECHNOLOGIES WORLDWIDE, INC.",CNG,dependent on
0,Energtek Inc,NGV Infrastructure,Supply
1,Energtek Inc,Energtek Products Ltd.,Supply
2,Energtek Inc,Natural Gas,Supply
3,Energtek Inc,Company,Supply
4,Energtek Inc,Pipeless                 Gas Supply Markets FIT       ,Supply
5,Energtek Inc,NG,Supply
6,Energtek Inc,Independent Registered Public Accounting Firm Board       ,Supply
7,Energtek Inc,ENERGTEK,Supply
8,Energtek Inc,S.A Furnaces,Supply
0,Energtek Inc,Energtek Products Ltd.,customers
1,Energtek Inc,Natural Gas,customers
2,Energtek Inc,ANG,customers
3,Energtek Inc,LMP,customers
4,Energtek Inc,EITF,customers
0,MARKETING WORLDWIDE CORP,MWW,Supply
4,MARKETING WORLDWIDE CORP,the International Standards Organization,Supply
12,MARKETING WORLDWIDE CORP,Company,Supply
14,MARKETING WORLDWIDE CORP,"Kux Manufacturing, Inc.",Supply
15,MARKETING WORLDWIDE CORP,Honda,Supply
16,MARKETING WORLDWIDE CORP,Nissan,Supply
17,MARKETING WORLDWIDE CORP,GM,Supply
18,MARKETING WORLDWIDE CORP,Toyota,Supply
19,MARKETING WORLDWIDE CORP,Ford,Supply
20,MARKETING WORLDWIDE CORP,Mazda,Supply
0,MARKETING WORLDWIDE CORP,MWW,customers
6,MARKETING WORLDWIDE CORP,Chevrolet,customers
7,MARKETING WORLDWIDE CORP,Ford,customers
8,MARKETING WORLDWIDE CORP,Mazda,customers
9,MARKETING WORLDWIDE CORP,Subaru,customers
10,MARKETING WORLDWIDE CORP,Hyundai,customers
12,MARKETING WORLDWIDE CORP,the Vehicle Processing Centers,customers
13,MARKETING WORLDWIDE CORP,OE,customers
15,MARKETING WORLDWIDE CORP,the Domestic and Import Automobile Manufacturers,customers
16,MARKETING WORLDWIDE CORP,Industrial Equipment Manufacturers,customers
17,MARKETING WORLDWIDE CORP,Tier 1,customers
24,MARKETING WORLDWIDE CORP,Automotive Specialty Markets,customers
29,MARKETING WORLDWIDE CORP,Toyota,customers
30,MARKETING WORLDWIDE CORP,Company,customers
33,MARKETING WORLDWIDE CORP,Summit,customers
0,MARKETING WORLDWIDE CORP,Company,dependent on
0,ENVIRONMENTAL CONTROL CORP.,Supplemental Disclosures Interest,Supply
0,"Kandi Technologies Group, Inc.","Fengsheng Vehicles Technologies Group Co., Ltd.",Supply
1,"Kandi Technologies Group, Inc.",Zhejiang Kandi Supply Chain Management Co.,Supply
2,"Kandi Technologies Group, Inc.",Company,Supply
4,"Kandi Technologies Group, Inc.",“Supply Chain Company”,Supply
5,"Kandi Technologies Group, Inc.",Supply Chain Company,Supply
8,"Kandi Technologies Group, Inc.",Kandi New Energy,Supply
9,"Kandi Technologies Group, Inc.",the Affiliate Company,Supply
10,"Kandi Technologies Group, Inc.",Kandi Vehicles,Supply
16,"Kandi Technologies Group, Inc.",F-,Supply
18,"Kandi Technologies Group, Inc.",Investment Banking,Supply
19,"Kandi Technologies Group, Inc.",Commercial and International Multinational Lending,Supply
20,"Kandi Technologies Group, Inc.",Treasury Management,Supply
21,"Kandi Technologies Group, Inc.",Credit Administration,Supply
22,"Kandi Technologies Group, Inc.",Compliance,Supply
23,"Kandi Technologies Group, Inc.",Trade Finance,Supply
24,"Kandi Technologies Group, Inc.",Global Supply Chain,Supply
25,"Kandi Technologies Group, Inc.","Zhejiang Kandi Vehicles     Co., Ltd.",Supply
26,"Kandi Technologies Group, Inc.","Zhejiang Kandi Vehicles Co., Ltd.",Supply
0,"Kandi Technologies Group, Inc.",the Affiliate Company’s,customers
1,"Kandi Technologies Group, Inc.",EV,customers
2,"Kandi Technologies Group, Inc.",Company,customers
3,"Kandi Technologies Group, Inc.","Fengsheng Vehicles Technologies Group Co., Ltd.",customers
4,"Kandi Technologies Group, Inc.",the Affiliate Company,customers
16,"Kandi Technologies Group, Inc.",F-,customers
17,"Kandi Technologies Group, Inc.",Company’s,customers
22,"Kandi Technologies Group, Inc.",Operation Lewin,customers
0,"Kandi Technologies Group, Inc.",the Affiliate Company,Sells to
3,"Kandi Technologies Group, Inc.",EV,Sells to
0,Cooper-Standard Holdings Inc.,Tier,Supply
2,Cooper-Standard Holdings Inc.,Company,Supply
3,Cooper-Standard Holdings Inc.,Cooper Standard,Supply
4,Cooper-Standard Holdings Inc.,Advanced Technology Group,Supply
5,Cooper-Standard Holdings Inc.,Cooper Standard Holdings Inc.,Supply
6,Cooper-Standard Holdings Inc.,Nishikawa Cooper LLC,Supply
8,Cooper-Standard Holdings Inc.,EBITDA,Supply
9,Cooper-Standard Holdings Inc.,Ernst & Young LLP,Supply
10,Cooper-Standard Holdings Inc.,Independent Registered Public Accounting Firm 42 Report,Supply
12,Cooper-Standard Holdings Inc.,Independent Registered Public Accounting Firm,Supply
13,Cooper-Standard Holdings Inc.,Internal Control over Financial,Supply
16,Cooper-Standard Holdings Inc.,Hutchings Automotive Products,Supply
17,Cooper-Standard Holdings Inc.,LLC,Supply
20,Cooper-Standard Holdings Inc.,10.9*† Cooper-Standard Automotive Inc. Supplemental,Supply
0,Cooper-Standard Holdings Inc.,CommercialMember,customers
1,Cooper-Standard Holdings Inc.,EuropeMember,customers
3,Cooper-Standard Holdings Inc.,Tier,customers
5,Cooper-Standard Holdings Inc.,Company,customers
6,Cooper-Standard Holdings Inc.,Cooper Standard,customers
7,Cooper-Standard Holdings Inc.,Global Councils,customers
9,Cooper-Standard Holdings Inc.,Renault,customers
10,Cooper-Standard Holdings Inc.,BMW,customers
11,Cooper-Standard Holdings Inc.,Toyota,customers
12,Cooper-Standard Holdings Inc.,Volvo,customers
13,Cooper-Standard Holdings Inc.,Jaguar/Land Rover,customers
14,Cooper-Standard Holdings Inc.,Honda,customers
15,Cooper-Standard Holdings Inc.,Advanced Technology Group,customers
16,Cooper-Standard Holdings Inc.,Ford,customers
17,Cooper-Standard Holdings Inc.,GM,customers
18,Cooper-Standard Holdings Inc.,FCA,customers
19,Cooper-Standard Holdings Inc.,the United Automobile Workers,customers
20,Cooper-Standard Holdings Inc.,General Motors,customers
21,Cooper-Standard Holdings Inc.,UAW,customers
23,Cooper-Standard Holdings Inc.,Euro,customers
26,Cooper-Standard Holdings Inc.,ASC,customers
29,Cooper-Standard Holdings Inc.,Company’s,customers
30,Cooper-Standard Holdings Inc.,Customer’s Accounting for Implementation Costs,customers
35,Cooper-Standard Holdings Inc.,Plant and Equipment Property,customers
36,Cooper-Standard Holdings Inc.,Carrying Amount Customer,customers
39,Cooper-Standard Holdings Inc.,Customer Concentration Sales,customers
41,Cooper-Standard Holdings Inc.,Percentage of Net Sales Customer,customers
0,Cooper-Standard Holdings Inc.,Renault,Sells to
1,Cooper-Standard Holdings Inc.,BMW,Sells to
2,Cooper-Standard Holdings Inc.,Toyota,Sells to
3,Cooper-Standard Holdings Inc.,Volvo,Sells to
4,Cooper-Standard Holdings Inc.,Jaguar/Land Rover,Sells to
5,Cooper-Standard Holdings Inc.,Honda,Sells to
6,Cooper-Standard Holdings Inc.,Ford,Sells to
7,Cooper-Standard Holdings Inc.,GM,Sells to
8,Cooper-Standard Holdings Inc.,FCA,Sells to
9,Cooper-Standard Holdings Inc.,Customer Concentration Sales,Sells to
10,Cooper-Standard Holdings Inc.,Company,Sells to
0,Cal Alta Auto Glass Inc,"Westcan Autoglass Supplies, Inc.",Supply
2,Cal Alta Auto Glass Inc,FAA Enterprises,Supply
3,Cal Alta Auto Glass Inc,"Westcan Auto Glass Supplies, Inc.",Supply
4,Cal Alta Auto Glass Inc,Cal Alta,Supply
8,Cal Alta Auto Glass Inc,Company,Supply
0,Cal Alta Auto Glass Inc,"Energy One Resource Services, Inc.",customers
1,Cal Alta Auto Glass Inc,Company,customers
0,Cal Alta Auto Glass Inc,Company,dependent on
0,STANADYNE CORP,Stanadyne’s,Supply
1,STANADYNE CORP,Company,Supply
8,STANADYNE CORP,INC,Supply
10,STANADYNE CORP,Holdings,Supply
11,STANADYNE CORP,NOTES,Supply
12,STANADYNE CORP,CONSOLIDATED FINANCIAL,Supply
13,STANADYNE CORP,STANADYNE HOLDINGS,Supply
15,STANADYNE CORP,"STANADYNE HOLDINGS,",Supply
20,STANADYNE CORP,Global Supply Chain,Supply
23,STANADYNE CORP,the Named Executive Officers,Supply
0,STANADYNE CORP,Company,customers
1,STANADYNE CORP,OEM,customers
2,STANADYNE CORP,Stanadyne,customers
5,STANADYNE CORP,Deere & Company,customers
6,STANADYNE CORP,Deere,customers
7,STANADYNE CORP,General Motors,customers
8,STANADYNE CORP,GM,customers
9,STANADYNE CORP,Stanadyne’s,customers
18,STANADYNE CORP,Service,customers
22,STANADYNE CORP,Cummins,customers
23,STANADYNE CORP,SG&A,customers
24,STANADYNE CORP,AGCO,customers
25,STANADYNE CORP,SISU,customers
28,STANADYNE CORP,the U.S. Revolver,customers
36,STANADYNE CORP,Research and Development,customers
40,STANADYNE CORP,Net Sales Sales %,customers
44,STANADYNE CORP,"Materials Management, Customer Support",customers
45,STANADYNE CORP,Shop Operations and Manufacturing Engineering,customers
46,STANADYNE CORP,EBITDA,customers
0,STANADYNE CORP,Service,Sells to
1,STANADYNE CORP,the Original Equipment Manufacturers,Sells to
2,STANADYNE CORP,GM,Sells to
4,STANADYNE CORP,Deere,Sells to
5,STANADYNE CORP,Cummins,Sells to
6,STANADYNE CORP,GEP,Sells to
7,STANADYNE CORP,HUMMWV,Sells to
8,STANADYNE CORP,AGCO,Sells to
9,STANADYNE CORP,SISU,Sells to
10,STANADYNE CORP,Ford,Sells to
11,STANADYNE CORP,OE,Sells to
0,"American Tire Distributors Holdings, Inc.",Tire Supplies and,Supply
1,"American Tire Distributors Holdings, Inc.",the Department of Commerce,Supply
2,"American Tire Distributors Holdings, Inc.",DOC,Supply
3,"American Tire Distributors Holdings, Inc.",ATDI,Supply
4,"American Tire Distributors Holdings, Inc.",Company,Supply
6,"American Tire Distributors Holdings, Inc.",RTD BC,Supply
7,"American Tire Distributors Holdings, Inc.",ASC 805— Business Combinations,Supply
9,"American Tire Distributors Holdings, Inc.",Kipling,Supply
11,"American Tire Distributors Holdings, Inc.",WTD,Supply
13,"American Tire Distributors Holdings, Inc.",TDI,Supply
15,"American Tire Distributors Holdings, Inc.",CTO,Supply
16,"American Tire Distributors Holdings, Inc.",Acquisitions,Supply
17,"American Tire Distributors Holdings, Inc.",RTD,Supply
18,"American Tire Distributors Holdings, Inc.",TriCan,Supply
22,"American Tire Distributors Holdings, Inc.",Company’s,Supply
23,"American Tire Distributors Holdings, Inc.",Product Strategy and Supply,Supply
26,"American Tire Distributors Holdings, Inc.",Product Planning and Positioning,Supply
27,"American Tire Distributors Holdings, Inc.",General Counsel,Supply
30,"American Tire Distributors Holdings, Inc.",American Tire Distributors,Supply
0,"American Tire Distributors Holdings, Inc.",SKU,customers
1,"American Tire Distributors Holdings, Inc.",ATDOnline,customers
3,"American Tire Distributors Holdings, Inc.",Tire Pros ®,customers
4,"American Tire Distributors Holdings, Inc.",Synchrony Financial,customers
6,"American Tire Distributors Holdings, Inc.",TBC,customers
7,"American Tire Distributors Holdings, Inc.",Sumitomo,customers
8,"American Tire Distributors Holdings, Inc.",TCI Tire Centers,customers
9,"American Tire Distributors Holdings, Inc.",Michelin,customers
10,"American Tire Distributors Holdings, Inc.",Kipling,customers
11,"American Tire Distributors Holdings, Inc.",ASU,customers
12,"American Tire Distributors Holdings, Inc.",Company,customers
13,"American Tire Distributors Holdings, Inc.",Company’s,customers
23,"American Tire Distributors Holdings, Inc.",Edmonton Calgary Total Customer,customers
26,"American Tire Distributors Holdings, Inc.",WTD,customers
27,"American Tire Distributors Holdings, Inc.",TDI,customers
28,"American Tire Distributors Holdings, Inc.",Life Value Customer,customers
30,"American Tire Distributors Holdings, Inc.",Amount Amortization Amount Amortization Customer,customers
31,"American Tire Distributors Holdings, Inc.",RTD BC,customers
33,"American Tire Distributors Holdings, Inc.",Trail Tire,customers
34,"American Tire Distributors Holdings, Inc.",Extreme Wheel,customers
35,"American Tire Distributors Holdings, Inc.",RTD Edmonton,customers
36,"American Tire Distributors Holdings, Inc.",RTD Calgary,customers
44,"American Tire Distributors Holdings, Inc.",RTD,customers
46,"American Tire Distributors Holdings, Inc.",TriCan,customers
49,"American Tire Distributors Holdings, Inc.",Berkshire-Hathaway,customers
0,FEDERAL SIGNAL CORP /DE/,Company,Supply
1,FEDERAL SIGNAL CORP /DE/,the Environmental Solutions Group,Supply
2,FEDERAL SIGNAL CORP /DE/,the Safety and Security Systems Group,Supply
3,FEDERAL SIGNAL CORP /DE/,Company’s Environmental Solutions Group,Supply
4,FEDERAL SIGNAL CORP /DE/,The Company’s Safety and Security Systems Group,Supply
7,FEDERAL SIGNAL CORP /DE/,JJE,Supply
9,FEDERAL SIGNAL CORP /DE/,MD&A,Supply
10,FEDERAL SIGNAL CORP /DE/,Company’s,Supply
12,FEDERAL SIGNAL CORP /DE/,Court,Supply
14,FEDERAL SIGNAL CORP /DE/,Our Environmental Solutions Group,Supply
15,FEDERAL SIGNAL CORP /DE/,Safety and Security Systems Group,Supply
0,FEDERAL SIGNAL CORP /DE/,Company,customers
1,FEDERAL SIGNAL CORP /DE/,JJE,customers
2,FEDERAL SIGNAL CORP /DE/,the Environmental Solutions Group’s,customers
3,FEDERAL SIGNAL CORP /DE/,Group,customers
4,FEDERAL SIGNAL CORP /DE/,the Environmental Solutions Group,customers
7,FEDERAL SIGNAL CORP /DE/,The Safety and Security Systems Group,customers
9,FEDERAL SIGNAL CORP /DE/,TBEI,customers
11,FEDERAL SIGNAL CORP /DE/,MRL,customers
12,FEDERAL SIGNAL CORP /DE/,Environmental Solutions Group,customers
16,FEDERAL SIGNAL CORP /DE/,Revenue Recognition Revenue,customers
17,FEDERAL SIGNAL CORP /DE/,Company’s,customers
0,FEDERAL SIGNAL CORP /DE/,the Environmental Solutions Group,Sells to
1,FEDERAL SIGNAL CORP /DE/,JJE,Sells to
0,FEDERAL SIGNAL CORP /DE/,Company,dependent on
0,Affinia Group Intermediate Holdings Inc.,Company,Supply
1,Affinia Group Intermediate Holdings Inc.,Company’s,Supply
4,Affinia Group Intermediate Holdings Inc.,NAPA,Supply
7,Affinia Group Intermediate Holdings Inc.,Filtration’s,Supply
8,Affinia Group Intermediate Holdings Inc.,Filtration Sales Channels,Supply
16,Affinia Group Intermediate Holdings Inc.,"United Components, Inc.",Supply
17,Affinia Group Intermediate Holdings Inc.,Champ,Supply
18,Affinia Group Intermediate Holdings Inc.,FRAM Group,Supply
19,Affinia Group Intermediate Holdings Inc.,LLC,Supply
20,Affinia Group Intermediate Holdings Inc.,FRAM,Supply
21,Affinia Group Intermediate Holdings Inc.,Purolator Filters NA LLC,Supply
22,Affinia Group Intermediate Holdings Inc.,Purolator,Supply
23,Affinia Group Intermediate Holdings Inc.,Mahle Filtersysteme Gmbh,Supply
25,Affinia Group Intermediate Holdings Inc.,the Company’s Business Domestic,Supply
32,Affinia Group Intermediate Holdings Inc.,DCF,Supply
33,Affinia Group Intermediate Holdings Inc.,Supplementary Data Report of Independent Registered Public Accounting Firm,Supply
34,Affinia Group Intermediate Holdings Inc.,Cash,Supply
36,Affinia Group Intermediate Holdings Inc.,Affinia,Supply
37,Affinia Group Intermediate Holdings Inc.,Committee,Supply
39,Affinia Group Intermediate Holdings Inc.,Plan,Supply
40,Affinia Group Intermediate Holdings Inc.,the Motor Equipment Manufacturers Association and Original Equipment Supplier Association,Supply
0,Affinia Group Intermediate Holdings Inc.,Company,customers
1,Affinia Group Intermediate Holdings Inc.,Company’s,customers
4,Affinia Group Intermediate Holdings Inc.,NAPA,customers
6,Affinia Group Intermediate Holdings Inc.,DIY,customers
9,Affinia Group Intermediate Holdings Inc.,Filtration Sales Channels,customers
10,Affinia Group Intermediate Holdings Inc.,OES,customers
11,Affinia Group Intermediate Holdings Inc.,Filtration’s,customers
13,Affinia Group Intermediate Holdings Inc.,Uni-Select Inc.,customers
22,Affinia Group Intermediate Holdings Inc.,the Company’s Business Domestic,customers
35,Affinia Group Intermediate Holdings Inc.,OE,customers
38,Affinia Group Intermediate Holdings Inc.,SG&A,customers
44,Affinia Group Intermediate Holdings Inc.,NAPA ®,customers
48,Affinia Group Intermediate Holdings Inc.,Revenue Recognition Sales,customers
49,Affinia Group Intermediate Holdings Inc.,Programs Cooperative,customers
51,Affinia Group Intermediate Holdings Inc.,ASU,customers
52,Affinia Group Intermediate Holdings Inc.,Trade Names Customer Relationships Developed Technology/ Other Total Balance,customers
53,Affinia Group Intermediate Holdings Inc.,Holdings’ Board of Directors,customers
57,Affinia Group Intermediate Holdings Inc.,Board,customers
0,Affinia Group Intermediate Holdings Inc.,Company,Sells to
2,Affinia Group Intermediate Holdings Inc.,Company’s,Sells to
0,"Fuel Systems Solutions, Inc.",Sub-System Assembly,Supply
1,"Fuel Systems Solutions, Inc.",Sourcing,Supply
2,"Fuel Systems Solutions, Inc.",Final Assembly & Test,Supply
3,"Fuel Systems Solutions, Inc.",the Bosch Group,Supply
4,"Fuel Systems Solutions, Inc.",Delphi Corporation,Supply
5,"Fuel Systems Solutions, Inc.",Siemens,Supply
6,"Fuel Systems Solutions, Inc.",Automotive AG,Supply
7,"Fuel Systems Solutions, Inc.",Visteon Corporation,Supply
8,"Fuel Systems Solutions, Inc.",Company,Supply
11,"Fuel Systems Solutions, Inc.",SEC,Supply
13,"Fuel Systems Solutions, Inc.",CLN,Supply
14,"Fuel Systems Solutions, Inc.",Supplemental Employment Agreements Fuel Systems,Supply
15,"Fuel Systems Solutions, Inc.",Pietro Bersani,Supply
16,"Fuel Systems Solutions, Inc.",Fuel Systems,Supply
17,"Fuel Systems Solutions, Inc.",Supplemental Employment Agreement,Supply
20,"Fuel Systems Solutions, Inc.",Non,Supply
0,"Fuel Systems Solutions, Inc.",Westport Innovations Inc.,customers
1,"Fuel Systems Solutions, Inc.",CNG,customers
2,"Fuel Systems Solutions, Inc.",LPG,customers
3,"Fuel Systems Solutions, Inc.",—solid,customers
4,"Fuel Systems Solutions, Inc.",OEM,customers
5,"Fuel Systems Solutions, Inc.",systems—,customers
8,"Fuel Systems Solutions, Inc.",EPA,customers
9,"Fuel Systems Solutions, Inc.",Electronics & Controls · Provides,customers
10,"Fuel Systems Solutions, Inc.",Engine-Fuel Delivery Systems · Turnkey,customers
11,"Fuel Systems Solutions, Inc.",Compressors,customers
12,"Fuel Systems Solutions, Inc.",Auxiliary Power Systems,customers
13,"Fuel Systems Solutions, Inc.",Capabilities Applications Design and Systems Integration,customers
14,"Fuel Systems Solutions, Inc.",California Air Resources Board,customers
15,"Fuel Systems Solutions, Inc.",Environmental Protection Agency,customers
16,"Fuel Systems Solutions, Inc.",Sub-System Assembly,customers
17,"Fuel Systems Solutions, Inc.",Sourcing,customers
18,"Fuel Systems Solutions, Inc.",Final Assembly & Test,customers
19,"Fuel Systems Solutions, Inc.",Company,customers
23,"Fuel Systems Solutions, Inc.",E.U.,customers
24,"Fuel Systems Solutions, Inc.",the United Nations,customers
28,"Fuel Systems Solutions, Inc.",FSS Industrial,customers
29,"Fuel Systems Solutions, Inc.",Auxiliary Power Units,customers
30,"Fuel Systems Solutions, Inc.",DOEM,customers
31,"Fuel Systems Solutions, Inc.",—The Company,customers
32,"Fuel Systems Solutions, Inc.",FASB,customers
0,"Fuel Systems Solutions, Inc.",the Related Party Transactions,Sells to
1,"Fuel Systems Solutions, Inc.",Company’s,Sells to
2,"Fuel Systems Solutions, Inc.",Company,Sells to
0,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Company,Supply
3,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,cooperatives,Supply
12,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Company’s,Supply
0,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Company,customers
10,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,VAT,customers
12,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Billed,customers
18,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Company’s,customers
0,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Company,dependent on
0,China Auto Logistics Inc,Company,Supply
1,China Auto Logistics Inc,Financing Services,Supply
2,China Auto Logistics Inc,FASB,Supply
3,China Auto Logistics Inc,ASU,Supply
8,China Auto Logistics Inc,Company’s,Supply
9,China Auto Logistics Inc,"82,105,826",Supply
10,China Auto Logistics Inc,Prepaid,Supply
11,China Auto Logistics Inc,Value,Supply
12,China Auto Logistics Inc,Changes,Supply
13,China Auto Logistics Inc,Huitong,Supply
22,China Auto Logistics Inc,Property and Equipment,Supply
25,China Auto Logistics Inc,"Tianjin Ning Chuan International Trading co., Ltd.",Supply
27,China Auto Logistics Inc,Trading Ltd. Co.,Supply
28,China Auto Logistics Inc,Automobile Sales,Supply
30,China Auto Logistics Inc,Jie International Logistics Ltd. Co.,Supply
43,China Auto Logistics Inc,"Jie International Logistics Co. , Ltd.",Supply
53,China Auto Logistics Inc,Bank of Jinzhou,Supply
61,China Auto Logistics Inc,Tianjin Binhai Rural Commercial Bank,Supply
63,China Auto Logistics Inc,Agricultural Bank of China,Supply
0,China Auto Logistics Inc,Tianjin for Financing Services and Other Services,customers
1,China Auto Logistics Inc,Financing Services,customers
