,source,target,relation,sentence
4,Affinia Group Intermediate Holdings Inc.,NAPA,customers,"Filtration has supplied the automotive aftermarket industry for over 75 years, including its largest customer, NAPA, for 50 years."
5,Affinia Group Intermediate Holdings Inc.,Company,customers,"To facilitate efficient inventory management and timely vehicle owner customer service, many of the Company’s customers and professional installers rely on larger suppliers like the Company to have full line product offerings, consistent value-added services and timely delivery."
6,Affinia Group Intermediate Holdings Inc.,DIY,customers,"In general, aftermarket industry participants may be categorized into three major groups: (i) manufacturers of parts, (ii) distributors of replacement parts (without manufacturing capabilities) and (iii) installers, both professional and do-it-yourself (“DIY”) customers."
7,Affinia Group Intermediate Holdings Inc.,DIY,customers,"Typically, professional installers purchase their products through the traditional channel, and DIY customers purchase products through the retail channel."
8,Affinia Group Intermediate Holdings Inc.,Company,customers,"In contrast to most light-duty competitors, the Company is able to provide customers with a full suite of filtration options."
9,Affinia Group Intermediate Holdings Inc.,Filtration Sales Channels,customers,"Filtration Sales Channels and Customers Filtration’s extensive filter product offering fits nearly every car, truck, off-highway and agricultural make and model on the road, allowing Filtration to serve as a full line supplier to the Company’s customers for the Company’s product categories."
10,Affinia Group Intermediate Holdings Inc.,OES,customers,Filtration’s customer base also includes OES participants.
11,Affinia Group Intermediate Holdings Inc.,Filtration’s,customers,"Filtration’s customers are leading aftermarket participants, including NAPA, Aftermarket Auto Parts Alliance (the “Alliance”), Uni-Select Inc. and O’Reilly Auto Parts."
12,Affinia Group Intermediate Holdings Inc.,NAPA,customers,"Filtration’s customers are leading aftermarket participants, including NAPA, Aftermarket Auto Parts Alliance (the “Alliance”), Uni-Select Inc. and O’Reilly Auto Parts."
13,Affinia Group Intermediate Holdings Inc.,Uni-Select Inc.,customers,"Filtration’s customers are leading aftermarket participants, including NAPA, Aftermarket Auto Parts Alliance (the “Alliance”), Uni-Select Inc. and O’Reilly Auto Parts."
14,Affinia Group Intermediate Holdings Inc.,Company,customers,"As an active participant in the aftermarket for more than 60 years, the Company has been successful in maintaining long-standing relationships with many of the Company’s customers."
15,Affinia Group Intermediate Holdings Inc.,Company’s,customers,"For the year ended December 31, 2015, approximately 34% of consolidated net sales from continuing operations was derived from the Company’s largest customer, NAPA."
16,Affinia Group Intermediate Holdings Inc.,NAPA,customers,"For the year ended December 31, 2015, approximately 34% of consolidated net sales from continuing operations was derived from the Company’s largest customer, NAPA."
17,Affinia Group Intermediate Holdings Inc.,Company,customers,"As retailers become increasingly focused on consolidating their supplier base, the Company believes that the Company’s broad product offering, product quality, sales and marketing support and customer service capabilities make the Company more valuable to these customers."
18,Affinia Group Intermediate Holdings Inc.,Company,customers,The Company believes that its emphasis on customer support has been a key factor in maintaining its leading market positions.
19,Affinia Group Intermediate Holdings Inc.,Company,customers,"The Company provides many other support features, such as technical support hot lines and training and electronic systems which interface with customers and conform to aftermarket industry standards."
20,Affinia Group Intermediate Holdings Inc.,Company’s,customers,"Uncertainty about the effect of the proposed merger on the Company’s employees, customers and other parties may have a material adverse effect on the Company’s business."
21,Affinia Group Intermediate Holdings Inc.,Company,customers,"Such uncertainty may impair the Company’s ability to attract, retain and motivate key personnel, including its executive leadership, and could cause customers, suppliers, financial counterparties and others to seek to change existing business relationships with the Company."
22,Affinia Group Intermediate Holdings Inc.,the Company’s Business Domestic,customers,"Risks Relating to the Company’s Industry and the Company’s Business Domestic and global economic conditions, including conditions in the global capital and credit markets, have affected and may continue to materially and adversely affect the Company’s business, financial condition and/or results of operations, as well as the Company’s ability to access credit and have affected and may continue to materially and adversely affect the financial condition of the Company’s customers and suppliers."
23,Affinia Group Intermediate Holdings Inc.,Company’s,customers,"As a result, the Company’s customers’ need for and ability to purchase its products or services may decrease, and its suppliers may increase their prices, reduce their output or change their terms of sale."
24,Affinia Group Intermediate Holdings Inc.,Company,customers,"If the operating and financial performance of the Company’s customers or suppliers deteriorates, or if they are unable to make scheduled payments or obtain credit, its customers may not be able to pay, or may delay payment of, accounts receivable owed to the Company, and its suppliers may restrict credit or impose different payment terms."
25,Affinia Group Intermediate Holdings Inc.,Company,customers,"To compete effectively, the Company must continue to satisfy the pricing, service, technology and quality and reliability requirements of NAPA and other customers, many of which are growing increasingly stringent."
26,Affinia Group Intermediate Holdings Inc.,NAPA,customers,"To compete effectively, the Company must continue to satisfy the pricing, service, technology and quality and reliability requirements of NAPA and other customers, many of which are growing increasingly stringent."
27,Affinia Group Intermediate Holdings Inc.,Company,customers,"While the Company intends to continue to focus on retaining and winning all of its other customers’ business, the Company may not succeed in doing so."
29,Affinia Group Intermediate Holdings Inc.,Company,customers,The Company cannot ensure the amount of future business it will be able to generate or maintain with any customers.
30,Affinia Group Intermediate Holdings Inc.,Company,customers,"In the future, it may be difficult to pass further price increases on to the Company’s customers, especially if the Company experiences additional cost increases soon after implementing price increases."
31,Affinia Group Intermediate Holdings Inc.,Company,customers,"The Company is subject to product returns from customers, some of which manage their excess inventory by returning product to the Company."
33,Affinia Group Intermediate Holdings Inc.,Company,customers,"In addition, the Company may develop specific technologies and capabilities in anticipation of customers’ demands for new innovations and technologies."
34,Affinia Group Intermediate Holdings Inc.,Company,customers,"These types of activities subject the Company to inherent costs and risks associated with replacing and changing these systems, including impairment of its ability to fulfill customer orders, potential disruption of the Company’s internal control structure, substantial capital expenditures, additional administration and operating expenses, retention of sufficiently skilled personnel to implement and operate the new systems, demands on management time, and other risks and costs of delays or difficulties in transitioning to new systems or of integrating new systems into the Company’s current systems."
35,Affinia Group Intermediate Holdings Inc.,OE,customers,"Additionally, the Company’s leading product breadth coupled with its strong and growing OE relationships positions the Company as a natural partner to the aftermarket service channel of its OE customers."
36,Affinia Group Intermediate Holdings Inc.,Company,customers,"Additionally, the Company’s leading product breadth coupled with its strong and growing OE relationships positions the Company as a natural partner to the aftermarket service channel of its OE customers."
38,Affinia Group Intermediate Holdings Inc.,SG&A,customers,"Excluding the impacts of currency, SG&A expenses decreased by $2 million compared to the same period in the prior year due primarily to lower selling expenses in North America as a result of the decrease in sales, $6 million of restructuring and other costs associated with the relocation of the corporate office and other severance amounts recorded in 2014 with no comparable amounts in 2015, and $2 million of bad debt expense in 2014 associated with a Filtration customer."
39,Affinia Group Intermediate Holdings Inc.,Company’s,customers,"The sales variance was driven primarily by: · $84 million decrease in North America due to lower volumes as a result of the termination of a relationship with a significant customer, as well as a softer U.S. aftermarket that has negatively impacted sales to the Company’s customers as well as those customers’ sales to various end markets."
40,Affinia Group Intermediate Holdings Inc.,SG&A,customers,"SG&A expenses increased by $2 million for the year ended December 31, 2014 in comparison to the same period in 2013 primarily due to a net $6 million of restructuring and other costs associated with the relocation of the corporate office and other severance amounts, $3 million in expense associated with restricted stock units (“RSU”), $2 million of bad debt expense associated with a Filtration customer, and an overall increase in expenses as a result of the higher sales, as well as costs associated with supporting the growth in sales."
41,Affinia Group Intermediate Holdings Inc.,SG&A,customers,"The increase in SG&A expenses was due primarily to a $5 million increase as a result of higher sales, as well as to support the growth in sales, a $3 million increase in advertising and promotional costs, a $2 million bad debt expense associated with a customer and $1 million of restructuring expense."
42,Affinia Group Intermediate Holdings Inc.,Company,customers,"In addition, the Company periodically performs studies to determine a scrap factor to be applied to the returns on a product-by-product basis, since a portion of the goods historically returned by customers have not been in saleable condition."
43,Affinia Group Intermediate Holdings Inc.,Company,customers,"Additionally, the Company provides private label products for certain customers, including NAPA ® ."
44,Affinia Group Intermediate Holdings Inc.,NAPA ®,customers,"Additionally, the Company provides private label products for certain customers, including NAPA ® ."
45,Affinia Group Intermediate Holdings Inc.,Company,customers,"During the year ended December 31, 2015, the Company identified certain errors in previously issued financial statements related to inventory, property, plant and equipment, intangible assets and liabilities associated with customer cash discounts."
46,Affinia Group Intermediate Holdings Inc.,Company,customers,"The Company identified a misstatement in its estimate of expected customer cash discounts, which is included as a component of accounts receivable.  "
47,Affinia Group Intermediate Holdings Inc.,Company’s,customers,"The Company’s largest customer’s accounts receivable as of December 31, 2015 and 2014, represented approximately 50% and 45%, respectively, of the total accounts receivable."
48,Affinia Group Intermediate Holdings Inc.,Revenue Recognition Sales,customers,"Revenue Recognition Sales are recognized when products are shipped or received, depending on the contractual terms, and risk of loss has transferred to the customer."
49,Affinia Group Intermediate Holdings Inc.,Programs Cooperative,customers,Promotional Programs Cooperative advertising programs conducted with customers that promote the Company’s products are accrued as a rebate based on anticipated total amounts to be rebated to customers over the period of the agreement with the customer.
50,Affinia Group Intermediate Holdings Inc.,Company,customers,"Infrequently, the Company enters into a contract with a customer for a set period of time that requires the reimbursement of the incentive by the customer if the future conditions of the contract are not met."
51,Affinia Group Intermediate Holdings Inc.,ASU,customers,"ASU 2014-09 outlines a single comprehensive model for entities to use in accounting for revenue arising from contracts with customers and supersedes most current revenue recognition guidance, including industry-specific guidance."
52,Affinia Group Intermediate Holdings Inc.,Trade Names Customer Relationships Developed Technology/ Other Total Balance,customers,"Trade Names Customer Relationships Developed Technology/ Other Total Balance at December 31, 2013 30 27 3 60 Amortization — (1 ) — (1 ) Tax benefit reductions (3 ) (3 ) — (6 ) Balance at December 31, 2014 $ 27 $ 23 $ 3 $ 53 Amortization — (1 ) — (1 ) Tax benefit reductions (4 )"
53,Affinia Group Intermediate Holdings Inc.,Holdings’ Board of Directors,customers,"Unless otherwise determined by Holdings’ Board of Directors, all award recipients will be obligated to sign the standard Confidentiality, Non-Competition and Proprietary Information Agreement which includes restrictive covenants regarding confidentiality, proprietary information and a one year period restricting competition and solicitation of the Company’s clients, customers or employees."
54,Affinia Group Intermediate Holdings Inc.,Company,customers,"On August 29, 2014, the Company and a major customer agreed to end their business relationship effective as of December 31, 2014."
55,Affinia Group Intermediate Holdings Inc.,NAPA,customers,NAPA is the Company’s largest customer as a percentage of total net sales from continuing operations.
56,Affinia Group Intermediate Holdings Inc.,Company’s,customers,NAPA is the Company’s largest customer as a percentage of total net sales from continuing operations.
57,Affinia Group Intermediate Holdings Inc.,Board,customers,"Unless otherwise determined by the Board, all award recipients are obligated to sign the Company’s standard confidentiality, non-competition and proprietary information agreement, which includes restrictive covenants regarding confidentiality, proprietary information and a one-year period restricting competition and solicitation of the Company’s clients, customers or employees."
58,Affinia Group Intermediate Holdings Inc.,Company,customers,"Each Named Executive Officer is restricted (either pursuant to their employment agreement or a separate agreement), for a period following termination of employment (24 months for Mr. Wilson and 12 months for Messrs. Klueg, Sturgess, Ciurlik and Dillman), from (i) soliciting in competition certain of the Company’s customers, (ii) competing with the Company or entering the employment or providing services to entities who compete with the Company or (iii) soliciting or hiring the Company’s employees."
59,Affinia Group Intermediate Holdings Inc.,Company’s,customers,"Each Named Executive Officer is restricted (either pursuant to their employment agreement or a separate agreement), for a period following termination of employment (24 months for Mr. Wilson and 12 months for Messrs. Klueg, Sturgess, Ciurlik and Dillman), from (i) soliciting in competition certain of the Company’s customers, (ii) competing with the Company or entering the employment or providing services to entities who compete with the Company or (iii) soliciting or hiring the Company’s employees."
0,Affinia Group Intermediate Holdings Inc.,Company,Sells to,"The Company may not be able to consummate those asset sales to raise capital or sell assets at prices that the Company believes are fair, and proceeds that it does receive may not be adequate to meet any debt service obligations then due."
2,Affinia Group Intermediate Holdings Inc.,Company’s,Sells to,"The sales variance was driven primarily by: · $84 million decrease in North America due to lower volumes as a result of the termination of a relationship with a significant customer, as well as a softer U.S. aftermarket that has negatively impacted sales to the Company’s customers as well as those customers’ sales to various end markets."
0,"Fuel Systems Solutions, Inc.",Westport Innovations Inc.,customers,"These risks and uncertainties and certain other factors which may impact our continuing business financial condition or results of operations, or which may cause actual results to differ from such forward-looking statements, include, but are not limited to, the unpredictable nature of the developing alternative fuel US automotive market, customer dissatisfaction with our products or services, the inability to deliver our products on schedule, a further slowing of economic activity, our ability to maintain customer program relationships, our ability to achieve the anticipated benefits in connection with our cost-cutting initiatives and restructuring plan, potential changes in tax policies and government incentives and their effect on the economic benefits of our products to consumers, the continued weakness in financial and credit markets of certain countries, the growth of non-gaseous alternative fuel products and other new technologies, the price differential between alternative gaseous fuels and gasoline, and the repeal or implementation of government regulations relating to reducing vehicle emissions, economic uncertainties caused by political instability in certain of the markets we do business in, the impact of the Argentinean debt crisis on our business, our ability to realign costs with current market conditions, the risks associated with the anticipated merger with Westport Innovations Inc. including that we will be subject to various uncertainties and contractual restrictions while the merger is pending and failure to complete the merger could negatively affect our stock price and future business and financial results, as well as the risks and uncertainties included in Item 1A, “Risk Factors” of"
1,"Fuel Systems Solutions, Inc.",CNG,customers,"Our technologies enable our customers to: · benefit from significantly lower retail fuel prices, capturing the differential between traditional fuels and compressed natural gas (CNG), liquid propane gas (LPG), and other gaseous fuels; · contribute to cleaner air and environment as carbon emissions of natural gas are in general lower than gasoline and diesel; and · help displace oil and exploit natural gas reserves so as to increase energy independence."
2,"Fuel Systems Solutions, Inc.",LPG,customers,"Our technologies enable our customers to: · benefit from significantly lower retail fuel prices, capturing the differential between traditional fuels and compressed natural gas (CNG), liquid propane gas (LPG), and other gaseous fuels; · contribute to cleaner air and environment as carbon emissions of natural gas are in general lower than gasoline and diesel; and · help displace oil and exploit natural gas reserves so as to increase energy independence."
3,"Fuel Systems Solutions, Inc.",—solid,customers,"We offer an array of components, systems and fully integrated solutions for our customers, including: · fuel delivery —pressure regulators, fuel injectors, flow control valves and other components designed to control the pressure, flow and/or metering of gaseous fuels; · electronic controls —solid-state components and proprietary software that monitor and optimize fuel pressure and flow to meet manufacturers’ engine requirements; · gaseous fueled internal combustion engines —engines manufactured by OEMs that are integrated with our fuel delivery and electronic controls; · systems integration —systems integration support to integrate the gaseous fuel storage, fuel delivery and /or electronic control components and sub-systems to meet OEM and aftermarket requirements; · auxiliary power systems— fully integrated auxiliary power systems for truck and diesel locomotives; and · natural gas compressors— natural gas compressors and refueling systems for light and heavy duty refueling applications."
4,"Fuel Systems Solutions, Inc.",OEM,customers,"We offer an array of components, systems and fully integrated solutions for our customers, including: · fuel delivery —pressure regulators, fuel injectors, flow control valves and other components designed to control the pressure, flow and/or metering of gaseous fuels; · electronic controls —solid-state components and proprietary software that monitor and optimize fuel pressure and flow to meet manufacturers’ engine requirements; · gaseous fueled internal combustion engines —engines manufactured by OEMs that are integrated with our fuel delivery and electronic controls; · systems integration —systems integration support to integrate the gaseous fuel storage, fuel delivery and /or electronic control components and sub-systems to meet OEM and aftermarket requirements; · auxiliary power systems— fully integrated auxiliary power systems for truck and diesel locomotives; and · natural gas compressors— natural gas compressors and refueling systems for light and heavy duty refueling applications."
5,"Fuel Systems Solutions, Inc.",systems—,customers,"We offer an array of components, systems and fully integrated solutions for our customers, including: · fuel delivery —pressure regulators, fuel injectors, flow control valves and other components designed to control the pressure, flow and/or metering of gaseous fuels; · electronic controls —solid-state components and proprietary software that monitor and optimize fuel pressure and flow to meet manufacturers’ engine requirements; · gaseous fueled internal combustion engines —engines manufactured by OEMs that are integrated with our fuel delivery and electronic controls; · systems integration —systems integration support to integrate the gaseous fuel storage, fuel delivery and /or electronic control components and sub-systems to meet OEM and aftermarket requirements; · auxiliary power systems— fully integrated auxiliary power systems for truck and diesel locomotives; and · natural gas compressors— natural gas compressors and refueling systems for light and heavy duty refueling applications."
6,"Fuel Systems Solutions, Inc.",CNG,customers,"“CARB”) certified product line and in-house OEM systems engineering platform, enhancing our ability to leverage our existing relationship with fleet customers and other manufacturers as they roll out CNG and LPG versions of key fleet vehicles in North America."
7,"Fuel Systems Solutions, Inc.",LPG,customers,"“CARB”) certified product line and in-house OEM systems engineering platform, enhancing our ability to leverage our existing relationship with fleet customers and other manufacturers as they roll out CNG and LPG versions of key fleet vehicles in North America."
8,"Fuel Systems Solutions, Inc.",EPA,customers,"Our broad product range allows us to provide turnkey EPA and CARB-certified and non-certified engine systems, customer specified fuel systems modules and/or components, as well as auxiliary power units (APUs)."
9,"Fuel Systems Solutions, Inc.",Electronics & Controls · Provides,customers,"· Available for high-pressure vapor natural gas and low-pressure liquid propane · Designs also incorporate standard fuel filtration to ensure system reliability Electronics & Controls · Provides closed loop fuel control allowing integration with existing sensors to ensure low emissions · Integrates gaseous fuel systems with existing engine management functions Engine-Fuel Delivery Systems · Turnkey kits for a variety of engine sizes and applications · Customized applications interface based on customer requirements Fuel Systems · Complete vehicle and equipment systems for aftermarket and post-production OEM conversion · Complete engine and vehicle management systems for heavy on-highway vehicles · Complete engine and vehicle management systems for off-highway and industrial engines used for material handling, power generation and industrial applications Compressors · Complete range of compressors for natural gas refueling applications and turnkey refueling stations Auxiliary Power Systems · Range of auxiliary power systems products for truck and rail applications 7"
10,"Fuel Systems Solutions, Inc.",Engine-Fuel Delivery Systems · Turnkey,customers,"· Available for high-pressure vapor natural gas and low-pressure liquid propane · Designs also incorporate standard fuel filtration to ensure system reliability Electronics & Controls · Provides closed loop fuel control allowing integration with existing sensors to ensure low emissions · Integrates gaseous fuel systems with existing engine management functions Engine-Fuel Delivery Systems · Turnkey kits for a variety of engine sizes and applications · Customized applications interface based on customer requirements Fuel Systems · Complete vehicle and equipment systems for aftermarket and post-production OEM conversion · Complete engine and vehicle management systems for heavy on-highway vehicles · Complete engine and vehicle management systems for off-highway and industrial engines used for material handling, power generation and industrial applications Compressors · Complete range of compressors for natural gas refueling applications and turnkey refueling stations Auxiliary Power Systems · Range of auxiliary power systems products for truck and rail applications 7"
11,"Fuel Systems Solutions, Inc.",Compressors,customers,"· Available for high-pressure vapor natural gas and low-pressure liquid propane · Designs also incorporate standard fuel filtration to ensure system reliability Electronics & Controls · Provides closed loop fuel control allowing integration with existing sensors to ensure low emissions · Integrates gaseous fuel systems with existing engine management functions Engine-Fuel Delivery Systems · Turnkey kits for a variety of engine sizes and applications · Customized applications interface based on customer requirements Fuel Systems · Complete vehicle and equipment systems for aftermarket and post-production OEM conversion · Complete engine and vehicle management systems for heavy on-highway vehicles · Complete engine and vehicle management systems for off-highway and industrial engines used for material handling, power generation and industrial applications Compressors · Complete range of compressors for natural gas refueling applications and turnkey refueling stations Auxiliary Power Systems · Range of auxiliary power systems products for truck and rail applications 7"
12,"Fuel Systems Solutions, Inc.",Auxiliary Power Systems,customers,"· Available for high-pressure vapor natural gas and low-pressure liquid propane · Designs also incorporate standard fuel filtration to ensure system reliability Electronics & Controls · Provides closed loop fuel control allowing integration with existing sensors to ensure low emissions · Integrates gaseous fuel systems with existing engine management functions Engine-Fuel Delivery Systems · Turnkey kits for a variety of engine sizes and applications · Customized applications interface based on customer requirements Fuel Systems · Complete vehicle and equipment systems for aftermarket and post-production OEM conversion · Complete engine and vehicle management systems for heavy on-highway vehicles · Complete engine and vehicle management systems for off-highway and industrial engines used for material handling, power generation and industrial applications Compressors · Complete range of compressors for natural gas refueling applications and turnkey refueling stations Auxiliary Power Systems · Range of auxiliary power systems products for truck and rail applications 7"
13,"Fuel Systems Solutions, Inc.",Capabilities Applications Design and Systems Integration,customers,"These capabilities/applications fall into the following categories: Capabilities Applications Design and Systems Integration · Strong team of applications engineers for component, system and engine level exercises providing support to customers in the application of our gaseous fuel products · Applications engineering services for whole vehicle/machine integration outside of our products ·"
14,"Fuel Systems Solutions, Inc.",California Air Resources Board,customers,Certification of component products and systems in line with the requirements of California Air Resources Board and Environmental Protection Agency for off- highway engines as well as European ECE-ONU certifications · Provide customers with the required tools to manage in-field traceability and other requirements beyond initial emission compliance Testing and Validation · Component endurance testing ·
15,"Fuel Systems Solutions, Inc.",Environmental Protection Agency,customers,Certification of component products and systems in line with the requirements of California Air Resources Board and Environmental Protection Agency for off- highway engines as well as European ECE-ONU certifications · Provide customers with the required tools to manage in-field traceability and other requirements beyond initial emission compliance Testing and Validation · Component endurance testing ·
16,"Fuel Systems Solutions, Inc.",Sub-System Assembly,customers,Component thermal and flow performance cycling · Engine and vehicle testing and evaluation for performance and emissions Sub-System Assembly · Pre-assembled modules for direct delivery to customers’ production lines · Sourcing and integrating second and third tier supplier components Final Assembly & Test ·
17,"Fuel Systems Solutions, Inc.",Sourcing,customers,Component thermal and flow performance cycling · Engine and vehicle testing and evaluation for performance and emissions Sub-System Assembly · Pre-assembled modules for direct delivery to customers’ production lines · Sourcing and integrating second and third tier supplier components Final Assembly & Test ·
18,"Fuel Systems Solutions, Inc.",Final Assembly & Test,customers,Component thermal and flow performance cycling · Engine and vehicle testing and evaluation for performance and emissions Sub-System Assembly · Pre-assembled modules for direct delivery to customers’ production lines · Sourcing and integrating second and third tier supplier components Final Assembly & Test ·
19,"Fuel Systems Solutions, Inc.",Company,customers,"Uncertainty about the effect of the merger on employees, suppliers and customers may have an adverse effect on the Company."
20,"Fuel Systems Solutions, Inc.",Company,customers,"These uncertainties may impair the Company’s ability to attract, retain and motivate key personnel until the merger is completed and for a period of time thereafter, and could cause customers, suppliers and others that deal with the Company to seek to change existing business relationships with the Company."
22,"Fuel Systems Solutions, Inc.",Company,customers,"In addition, if the merger is not completed, the Company may experience negative reactions from the financial markets and from its customers and employees."
23,"Fuel Systems Solutions, Inc.",E.U.,customers,"Some of our foreign subsidiaries in the past have sold fuel delivery systems, related parts and accessories to customers in countries currently subject to sanctions and embargoes imposed by the U.S. government, the E.U., the United Nations, and other countries when we did not believe such sales violated these sanctions or embargoes."
24,"Fuel Systems Solutions, Inc.",the United Nations,customers,"Some of our foreign subsidiaries in the past have sold fuel delivery systems, related parts and accessories to customers in countries currently subject to sanctions and embargoes imposed by the U.S. government, the E.U., the United Nations, and other countries when we did not believe such sales violated these sanctions or embargoes."
25,"Fuel Systems Solutions, Inc.",—solid,customers,"We offer an array of components, systems and fully integrated solutions for our customers, including: fuel delivery —pressure regulators, fuel injectors, flow control valves and other components designed to control the pressure, flow and/or metering of gaseous fuels; electronic controls —solid-state components and proprietary software that monitor and optimize fuel pressure and flow to meet manufacturers’ engine requirements; gaseous fueled internal combustion engines —engines manufactured by OEMs that are integrated with our fuel delivery and electronic controls; systems integration —systems integration support to integrate the gaseous fuel storage, fuel delivery and/or electronic control components and sub-systems to meet OEM and aftermarket requirements; auxiliary power systems— fully integrated auxiliary power systems for truck and diesel locomotives; and natural gas compressors— natural gas compressors and refueling systems for light and heavy duty refueling applications."
26,"Fuel Systems Solutions, Inc.",OEM,customers,"We offer an array of components, systems and fully integrated solutions for our customers, including: fuel delivery —pressure regulators, fuel injectors, flow control valves and other components designed to control the pressure, flow and/or metering of gaseous fuels; electronic controls —solid-state components and proprietary software that monitor and optimize fuel pressure and flow to meet manufacturers’ engine requirements; gaseous fueled internal combustion engines —engines manufactured by OEMs that are integrated with our fuel delivery and electronic controls; systems integration —systems integration support to integrate the gaseous fuel storage, fuel delivery and/or electronic control components and sub-systems to meet OEM and aftermarket requirements; auxiliary power systems— fully integrated auxiliary power systems for truck and diesel locomotives; and natural gas compressors— natural gas compressors and refueling systems for light and heavy duty refueling applications."
27,"Fuel Systems Solutions, Inc.",systems—,customers,"We offer an array of components, systems and fully integrated solutions for our customers, including: fuel delivery —pressure regulators, fuel injectors, flow control valves and other components designed to control the pressure, flow and/or metering of gaseous fuels; electronic controls —solid-state components and proprietary software that monitor and optimize fuel pressure and flow to meet manufacturers’ engine requirements; gaseous fueled internal combustion engines —engines manufactured by OEMs that are integrated with our fuel delivery and electronic controls; systems integration —systems integration support to integrate the gaseous fuel storage, fuel delivery and/or electronic control components and sub-systems to meet OEM and aftermarket requirements; auxiliary power systems— fully integrated auxiliary power systems for truck and diesel locomotives; and natural gas compressors— natural gas compressors and refueling systems for light and heavy duty refueling applications."
28,"Fuel Systems Solutions, Inc.",FSS Industrial,customers,"Lower sales at our FSS Industrial segment for most of our industrial products were primarily the result of increased competition, which resulted in some customers ending certain programs, lower oil prices, as well as continued political unrest in some Asian markets, which were partially offset by higher sales of Auxiliary Power Units (“APU”) in North America."
29,"Fuel Systems Solutions, Inc.",Auxiliary Power Units,customers,"Lower sales at our FSS Industrial segment for most of our industrial products were primarily the result of increased competition, which resulted in some customers ending certain programs, lower oil prices, as well as continued political unrest in some Asian markets, which were partially offset by higher sales of Auxiliary Power Units (“APU”) in North America."
30,"Fuel Systems Solutions, Inc.",DOEM,customers,"The decrease in revenue was primarily attributable to lower DOEM sales of approximately $35.5 million, primarily due to loss of customers in the European markets (primarily Italy) in connection with their change in products strategies and lower volumes in the North American market.  "
31,"Fuel Systems Solutions, Inc.",—The Company,customers,—The Company maintains provisions for uncollectible accounts for estimated losses resulting from the inability of its customers to remit payments.
32,"Fuel Systems Solutions, Inc.",FASB,customers,"In May 2014, the FASB issued a new accounting standard update providing additional guidance for revenue recognition in relation to contractual arrangements with customers.  "
33,"Fuel Systems Solutions, Inc.",Company,customers,"From time to time, the Company may be involved in litigation relating to claims arising out of the ordinary course of its business including, but not limited to, product liability, asbestos related liability, employment matters, patent and trademarks, and customer account collections."
34,"Fuel Systems Solutions, Inc.",Company,customers,"The Company routinely sells products to a broad base of domestic and international customers, which includes distributors and original equipment manufacturers."
0,"Fuel Systems Solutions, Inc.",the Related Party Transactions,Sells to,"Other Transactions with Related Parties Amounts presented above for purchases from, and sales to, related parties were corrected following the identification of a disclosure error in the applicable section of the Related Party Transactions note to the consolidated financial statements for the year ended December 31, 2014 included in the Company’s Form 10-K filed on March 12, 2015."
1,"Fuel Systems Solutions, Inc.",Company’s,Sells to,"Other Transactions with Related Parties Amounts presented above for purchases from, and sales to, related parties were corrected following the identification of a disclosure error in the applicable section of the Related Party Transactions note to the consolidated financial statements for the year ended December 31, 2014 included in the Company’s Form 10-K filed on March 12, 2015."
2,"Fuel Systems Solutions, Inc.",Company,Sells to,"The Company identified the presentation of incorrect amounts in Euro instead of US Dollars for purchases from, and sales to, related parties for the year ended December 31, 2014 in the applicable table of the above-mentioned note."
0,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Company,Supply,"The orders from the farmers have largely exceeded the annual production capacity of the Company, and it is predicted that the supply can not cover the demand in the following five years."
0,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Company,customers,The characteristic of the Company's landscaping construction business determines its customers base have to keep changing.
1,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Company,customers,"If the Company fails to bring the new customers after the completion of the current projects, the Company will be unable to maintain profitability."
4,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Company,customers,"The Company believes the more projects completed, the more new customers obtained in the future due to the growth of the Company's experiences and reputation."
6,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Company,customers,"However, if the Company fails to bring the new customers after the completion of the current projects, the Company will be unable to maintain profitability."
10,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,VAT,customers,Output VAT is borne by customers in addition to the invoiced value of sales while input VAT is not allowed for deduction from the invoiced value of purchases.
11,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Company,customers,"During the year ended June 31, 2008, the Company has made a recovery from the allowance for doubtful accounts of $109,353, relating to approximately $207,906 (equivalent to RMB1,585,237) which was aged over 1 year, included in the balance as of June 30, 2007 and subsequently collected from a customer in July 2007."
12,ENVIRONMENT ECOLOGY HOLDING CO OF CHINA,Billed,customers,2008 Customers Revenues Percentage of       revenues Billed       accounts receivable Customer       
